incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,kko_x,kko_y,kko_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,bw_00,bw_11,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns
32.88579559326172,23.922866821289062,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.873947,J0359+5057,50.96393385555556,-2111752.2440000004,-3581453.556,4821610.080999999,-0.011428124999965067,-0.010564374999965463,-0.0014081249999689522,-0.0014343749999690025,-1.5000000000000124,-1.3000000000000131,42.5239143371582,38.73888397216797,38.36632537841797,38.382625579833984,38.62073516845703,37.6500244140625,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,208,232,57.92385482788086,43.904117584228516,66.41703796386719,57.75327682495117,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated_bw_500_700_masked/J0359+5057_calibrated_bw_500_700_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.6983518561965875,1.7197746532952487,0.23893168941512788,-26.00216095219403,True,-11.428124999965068,-10.564374999965462
7.738014221191406,6.515468597412109,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,57.97755912916666,J0351+0627,6.465388480555556,-2111752.2440000004,-3581453.556,4821610.080999999,0.013733125000024996,-0.010496249999965944,-0.00515687499996768,-0.0029062499999688864,2.4999999999999734,-1.2000000000000135,12.627946853637695,17.555435180664062,12.500326156616211,21.48037338256836,14.149778366088867,22.040878295898438,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,230,270,50.633140563964844,43.400634765625,61.72856140136719,57.06753158569336,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated_bw_500_700_masked/J0351+0627_calibrated_bw_500_700_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,0.8646936224260376,-42.77461915157092,1.801977168037753,-70.4965547570602,True,13.733125000024996,-10.496249999965944
17.035568237304688,19.340831756591797,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,57.338833958333325,J0349+3354,33.913987174999995,-2111752.2440000004,-3581453.556,4821610.080999999,0.45433312500002426,0.4145043750000405,0.4400831250000298,0.43786437500003145,2.1999999999999744,-3.5000000000000053,31.536828994750977,32.6690673828125,32.414371490478516,29.064971923828125,33.84428787231445,29.78295135498047,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,251,219,53.55305099487305,39.10544204711914,71.76044464111328,50.08567810058594,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated_bw_500_700_masked/J0349+3354_calibrated_bw_500_700_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,1.2179301452208469,-15.319748694976855,2.155213690832562,-43.04168430046613,True,454.33312500002427,414.5043750000405
10.602897644042969,7.332286834716797,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,58.958334429166655,J0355+2113,21.222599675,-2111752.2440000004,-3581453.556,4821610.080999999,0.022442500000021466,0.030726875000018833,-0.002467499999968875,-0.0002531249999691576,3.5999999999999694,4.6999999999999655,22.6257381439209,16.57901954650879,22.625125885009766,18.672536849975586,23.07567596435547,20.292095184326172,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,260,257,60.35163497924805,41.477569580078125,67.42805480957031,60.669593811035156,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated_bw_500_700_masked/J0355+2113_calibrated_bw_500_700_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.12199697998592801,-28.025341744045846,0.8152865656257873,-55.747277349535125,True,22.442500000021465,30.726875000018833
19.048992156982422,28.236080169677734,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,57.19544570833333,J0348+3353,33.88761608888889,-2111752.2440000004,-3581453.556,4821610.080999999,0.01529250000002424,0.009511250000027147,0.00014250000003011333,-0.002078749999968359,2.3999999999999737,1.5999999999999766,32.10352325439453,36.48216247558594,31.0953311920166,32.47612380981445,33.72526550292969,34.784027099609375,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,252,260,54.770076751708984,43.350215911865234,65.95828247070312,57.282569885253906,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated_bw_500_700_masked/J0348+3353_calibrated_bw_500_700_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,1.3373651734777172,-15.343416993181602,2.2746487190894324,-43.065352598670884,True,15.29250000002424,9.511250000027147
21.195640563964844,22.44647216796875,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,19.318315779166664,J0117+8928,89.47999330555555,-2111752.2440000004,-3581453.556,4821610.080999999,0.011880000000026895,0.011895625000026314,0.0016100000000308773,-0.0005643749999688552,1.7999999999999758,1.7999999999999758,31.240739822387695,25.04779052734375,30.307401657104492,27.206472396850586,32.202571868896484,30.077800750732422,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,266,240,59.26050567626953,43.36185836791992,68.78768920898438,60.458919525146484,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated_bw_500_700_masked/J0117+8928_calibrated_bw_500_700_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,0.25721457696263067,40.35056524979605,1.194498122574346,12.62862964430677,True,11.880000000026895,11.895625000026314
4.078865051269531,4.516574859619141,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.7609996136667,J035902.6+600522,60.0894637845278,-2111752.2440000004,-3581453.556,4821610.080999999,0.009114375000025151,0.021576250000022227,-0.006235624999968898,-0.0017637499999687235,1.6999999999999762,3.49999999999997,16.87528419494629,10.537239074707031,13.442042350769043,11.284735679626465,15.328184127807617,12.466141700744629,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,254,226,58.19386291503906,38.20076370239258,78.47624206542969,51.955902099609375,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated_bw_500_700_masked/J035902.6+600522_calibrated_bw_500_700_masked_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.515183655813002,10.843887323103722,0.4220998897987134,-16.878048282385556,True,9.11437500002515,21.576250000022227
12.88153076171875,8.421865463256836,1739022503.407123,436772516,J145907.5+714019,224.781599616833,71.6721852248056,227.33271761666663,J1509+4726,47.44893824166666,-2111752.2440000004,-3581453.556,4821610.080999999,-0.02130374999996115,0.008718125000027667,0.00028625000003048174,0.0002681250000309432,-3.1000000000000068,1.3999999999999773,28.07750701904297,9.60380744934082,27.345550537109375,12.978351593017578,27.845993041992188,12.891397476196289,37.22868728637695,28.925708770751953,31.79623031616211,20.446727752685547,166,223,30.703088760375977,20.690288543701172,23.84626579284668,10.507087707519531,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/436772516/calibrated_bw_500_700_masked/J1509+4726_calibrated_bw_500_700_masked_to_J145907.5+714019_vis.h5,0.5301455522704082,22.25803728362445,-0.7769536746382164,-1.9587749515121982,-1.3070992269086246,-24.216812235136647,True,-21.30374999996115,8.718125000027667
14.63885498046875,9.670333862304688,1739022503.407123,436772516,J145907.5+714019,224.781599616833,71.6721852248056,226.0383697708333,J1504+6000,60.01547576666667,-2111752.2440000004,-3581453.556,4821610.080999999,0.005396875000028167,-0.008000624999966517,-0.002833124999968642,-0.0006406249999693708,1.0999999999999783,-0.9000000000000146,25.79531478881836,16.17518424987793,20.85920524597168,11.757534980773926,20.3066349029541,11.977923393249512,37.22868728637695,28.925708770751953,31.79623031616211,20.446727752685547,249,165,27.23771095275879,24.856447219848633,15.49625015258789,9.084674835205078,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/436772516/calibrated_bw_500_700_masked/J1504+6000_calibrated_bw_500_700_masked_to_J145907.5+714019_vis.h5,0.5301455522704082,22.25803728362445,0.11997669370980088,10.598591324037548,-0.41016885856060725,-11.659445959586902,True,5.396875000028167,-8.000624999966517
7.592561721801758,8.01457405090332,1739022503.407123,436772516,J145907.5+714019,224.781599616833,71.6721852248056,19.318315779166664,J0117+8928,89.47999330555555,-2111752.2440000004,-3581453.556,4821610.080999999,-0.022118749999961558,0.02197937500002186,-0.0023487499999692235,-0.0022606249999687425,-2.700000000000008,3.699999999999969,16.448881149291992,13.967278480529785,15.840272903442383,11.801286697387695,15.985897064208984,13.721634864807129,37.22868728637695,28.925708770751953,31.79623031616211,20.446727752685547,196,177,23.516162872314453,18.121103286743164,15.483495712280273,8.61515998840332,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/436772516/calibrated_bw_500_700_masked/J0117+8928_calibrated_bw_500_700_masked_to_J145907.5+714019_vis.h5,0.5301455522704082,22.25803728362445,-0.08655918773971769,41.047690956301,-0.6167047400101259,18.789653672676547,True,-22.118749999961558,21.97937500002186
