,incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,gbo_x,gbo_y,gbo_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns,best_pol,toss
0,10.807270050048828,10.17022705078125,1740791938.8477173,438913616,J035902.6+600522,59.7609996136667,60.0894637845278,62.69004559999999,J0410+7656,76.94592036944445,883726.8698975747,-4924468.099089417,3943962.642426154,-6.874999968223272e-06,0.0044275000000301,0.0013431250000312,0.0012675000000313,-0.4999999999994386,0.5000000000005755,26.005754470825195,24.42803001403809,19.82427024841309,13.40866756439209,20.307493209838867,13.822678565979004,24.867839813232425,14.083005905151367,16.263961791992188,9.358367919921877,26.35747718811035,13.01424789428711,14.876060485839844,8.277870178222656,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/438913616/calibrated/J0410+7656_calibrated_to_J035902.6+600522_vis.h5,-0.515183655813002,10.843887323103722,-0.9372835456117152,27.72193560548928,-0.4220998897987134,16.878048282385556,True,-0.0068749999682232,4.4275000000301485,X,False
1,3.9721603393554688,5.002876281738281,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,19.318315779166664,J0117+8928,89.47999330555555,883726.8698975747,-4924468.099089417,3943962.642426154,0.0039625000000339,0.5745987500000362,0.0130825000000304,0.588088750000031,-1.99999999999946,38.1000000000011,23.19268226623535,8.964478492736816,14.067045211791992,7.817795753479004,16.577369689941406,8.964152336120605,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,49.98421859741211,28.06674575805664,24.44091796875,11.727664947509766,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated/J0117+8928_calibrated_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,0.3605242981069996,40.91152553789507,0.5982619033282721,48.2796508730325,True,3.962500000033963,574.5987500000363,X,False
2,12.122108459472656,9.067298889160156,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,148.697678690042,J095447.4+743557,74.599206971,883726.8698975747,-4924468.099089417,3943962.642426154,0.0003887500000305,-0.0005337499999692,-3.1249999969273955e-05,-3.37499999693942e-05,0.3000000000005727,0.1000000000005698,35.54010391235352,23.69872665405273,21.255210876464844,15.026867866516112,21.43233299255371,15.03410816192627,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,50.857051849365234,28.50104331970215,23.026092529296875,11.666080474853516,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated/J095447.4+743557_calibrated_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,1.0375418679537562,25.18566901521975,1.2752794731750288,32.55379435035718,True,0.3887500000305632,-0.5337499999692004,X,False
3,8.68768310546875,5.450061798095703,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,151.922908705333,J100741.4+135629,13.9415557686111,883726.8698975747,-4924468.099089417,3943962.642426154,0.0066168750000243,1.0824025000000164,-0.0057231249999709,1.0485825000000293,2.9000000000006096,33.50000000000105,17.79487419128418,9.316720008850098,11.557235717773438,8.30593490600586,15.707951545715332,11.26122760772705,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,44.7686767578125,27.991527557373047,23.976280212402344,11.892169952392578,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated/J100741.4+135629_calibrated_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,0.722137690362572,-35.49831539068291,0.9598752955838444,-28.130190055545484,True,6.616875000024301,1082.4025000000163,X,False
4,7.015174865722656,4.101264953613281,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,152.52066956249996,J1010+4522,45.37296694444444,883726.8698975747,-4924468.099089417,3943962.642426154,-0.0003662499999689,-0.000378749999969,-0.0003662499999689,-0.000378749999969,5.684341886080801e-13,5.684341886080801e-13,31.378551483154297,14.053247451782228,19.095199584960938,10.429239273071287,19.095199584960938,10.429239273071287,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,51.492557525634766,26.24082946777344,21.620895385742188,9.861507415771484,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated/J1010+4522_calibrated_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,0.0933125288255521,-4.071383240688424,0.3310501340468246,3.296742094449005,True,-0.3662499999689018,-0.378749999969018,X,False
5,20.421165466308597,5.056083679199219,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,153.25670956666664,J1013+2448,24.81029649722222,883726.8698975747,-4924468.099089417,3943962.642426154,0.0021600000000296,-0.0027743749999684,-0.0019299999999687,-0.0018843749999688,0.7000000000005784,-0.1999999999994344,45.65705108642578,18.21540641784668,26.921384811401367,12.704054832458496,28.29504776000977,12.59638786315918,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,52.84721374511719,24.319128036499023,21.665428161621094,9.62557601928711,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated/J1013+2448_calibrated_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,-0.5387383356836066,-24.632028304355213,-0.3010007304623341,-17.263902969217785,True,2.1600000000296946,-2.774374999968483,X,False
6,33.640830993652344,33.587249755859375,1739516210.3831358,437407705,J083454.9+553421,128.728766615667,55.5725195391389,130.351522021167,J084124.3+705342,70.8950480676389,883726.8698975747,-4924468.099089417,3943962.642426154,0.0012912500000332,-0.0005143749999659,0.0080012500000306,0.0080256250000307,-1.29999999999945,-1.6999999999994555,31.72846984863281,31.21438789367676,32.179290771484375,30.228103637695312,38.88712310791016,42.24153900146485,33.13148498535156,30.19402503967285,78.72280883789062,43.62661743164063,28.697328567504883,27.44170379638672,67.9296646118164,43.64882278442383,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437407705/calibrated/J084124.3+705342_calibrated_to_J083454.9+553421_vis.h5,-0.0293709307702275,6.164621554307567,-0.5772964236583004,21.49257328343389,-0.5479254928880728,15.327951729126324,True,1.2912500000332423,-0.5143749999659666,X,False
7,5.004299163818359,6.070220947265625,1737902359.4002829,435339999,J145907.5+714019,224.781599616833,71.6721852248056,226.539708230375,J150609.5+373051,37.5142034725556,883726.8698975747,-4924468.099089417,3943962.642426154,0.0006387500000343,0.0007168750000198,0.009258750000031,0.0063368750000176,-2.0999999999994614,-2.0999999999994614,10.899616241455078,10.424867630004885,12.80710792541504,8.73535442352295,19.66421890258789,9.315317153930664,21.404296875,19.35207176208496,45.2765998840332,48.34746551513672,20.97965812683105,15.568105697631836,44.75566864013672,33.5228271484375,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/435339999/calibrated/J150609.5+373051_calibrated_to_J145907.5+714019_vis.h5,0.5158239393208652,22.257875245440477,-0.3556476290049926,-11.90015411971918,-0.8714715683258578,-34.15802936515965,True,0.6387500000343428,0.7168750000198059,X,False
8,13.79507064819336,21.069320678710938,1736615576.1827278,433914880,J1642+3948,250.7450415291666,39.81027610277778,248.64085995833327,J1634+6245,62.759971272222224,883726.8698975747,-4924468.099089417,3943962.642426154,-0.0022406249999716,-0.0040587499999709,-0.0095406249999688,-0.0095187499999688,1.6000000000005912,1.2000000000005857,11.75716781616211,11.840476989746094,17.61265754699707,24.067338943481445,21.703596115112305,26.70572853088379,22.068662643432617,27.746129989624023,60.56575775146485,80.90232849121094,19.909616470336918,25.30182647705078,51.43613052368164,60.21341323852539,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/433914880/calibrated/J1634+6245_calibrated_to_J1642+3948_vis.h5,-0.6872877420607857,-9.550593276625342,0.6434635220658855,13.394322814762804,1.3307512641266712,22.944916091388144,True,-2.240624999971658,-4.058749999970983,X,False
9,5.326030731201172,6.318092346191406,1736615576.1827278,433914880,J1642+3948,250.7450415291666,39.81027610277778,247.4659921895,J162951.8+675714,67.9541618648611,883726.8698975747,-4924468.099089417,3943962.642426154,-0.0022974999999718,0.000810625000024,-0.0169374999999661,-0.0096093749999718,2.500000000000604,3.000000000000611,8.528549194335938,10.11762237548828,11.484682083129885,14.830759048461914,17.990140914916992,25.858436584472656,22.068662643432617,27.746129989624023,60.56575775146485,80.90232849121094,21.772558212280277,26.69133186340332,56.72567367553711,75.20543670654297,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/433914880/calibrated/J162951.8+675714_calibrated_to_J1642+3948_vis.h5,-0.6872877420607857,-9.550593276625342,1.0035331413711162,18.597330986253294,1.6908208834319018,28.14792426287864,True,-2.297499999971848,0.8106250000240699,X,False
