incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,hco_x,hco_y,hco_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,bw_00,bw_11,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns
16.87897491455078,15.447128295898438,1739694259.7342567,437574971,J0117+8928,19.318326924999997,89.47999327222223,152.97573174583331,J1011+4204,42.07593756111111,-2523649.92736954,-4123697.10433308,4147773.43142168,0.0016900000000158247,-7.99999999847173e-05,0.000780000000015546,0.0008200000000155583,0.20000000000057128,-0.1999999999994344,32.96030044555664,33.1147575378418,26.28929901123047,27.119104385375977,26.95512580871582,27.37984275817871,39.19694519042969,34.25851058959961,27.668201446533203,28.488998413085938,508,591,40.3599967956543,34.575714111328125,23.347381591796875,29.240413665771484,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/437574971/calibrated/J1011+4204_calibrated_to_J0117+8928_vis.h5,0.3605243917901488,40.91152548671519,-0.23773750945791106,-7.368125368841461,-0.5982619012480599,-48.27965085555665,True,1.6900000000158246,-0.0799999999847173
5.934604644775391,4.585254669189453,1739694259.7342567,437574971,J0117+8928,19.318326924999997,89.47999327222223,152.52066954999998,J1010+4522,45.37296684166667,-2523649.92736954,-4123697.10433308,4147773.43142168,0.0016100000000158002,0.005770000000017074,0.0002400000000153807,0.0003100000000154021,0.5000000000005755,1.2000000000005855,14.577958106994629,11.164624214172363,15.518085479736328,10.547537803649902,16.3721981048584,11.791827201843262,39.19694519042969,34.25851058959961,27.668201446533203,28.488998413085938,504,608,38.053836822509766,34.11098861694336,23.47728729248047,26.162677764892578,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/437574971/calibrated/J1010+4522_calibrated_to_J0117+8928_vis.h5,0.3605243917901488,40.91152548671519,0.0933125378211142,-4.071383343446612,-0.2672118539690346,-44.982908830161804,True,1.6100000000158001,5.770000000017074
8.51993179321289,7.288921356201172,1739694259.7342567,437574971,J0117+8928,19.318326924999997,89.47999327222223,148.69767938333334,J0954+7435,74.59920692222222,-2523649.92736954,-4123697.10433308,4147773.43142168,0.002090000000015947,0.000290000000015396,-0.006169999999986582,-0.004189999999985976,1.4000000000005883,1.0000000000005826,18.462228775024414,19.852937698364258,20.285186767578125,18.53266143798828,23.783428192138672,20.848390579223633,39.19694519042969,34.25851058959961,27.668201446533203,28.488998413085938,487,616,41.904605865478516,34.473106384277344,26.37796401977539,27.122425079345703,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/437574971/calibrated/J0954+7435_calibrated_to_J0117+8928_vis.h5,0.3605243917901488,40.91152548671519,1.0375416875059604,25.18566895577245,0.6770172957158116,-15.725856530942742,True,2.090000000015947,0.290000000015396
3.6881179809570312,7.652446746826172,1739694259.7342567,437574971,J0117+8928,19.318326924999997,89.47999327222223,151.50729264583333,J1006+3454,34.902889316666666,-2523649.92736954,-4123697.10433308,4147773.43142168,0.002710000000016137,0.02139000000002185,0.0030800000000162503,0.005140000000016881,-0.29999999999943583,2.9000000000006096,14.517631530761719,16.22121810913086,20.303430557250977,14.549710273742676,19.93553352355957,15.55420970916748,39.19694519042969,34.25851058959961,27.668201446533203,28.488998413085938,523,487,39.02335739135742,32.72721862792969,26.400043487548828,27.44498062133789,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/437574971/calibrated/J1006+3454_calibrated_to_J0117+8928_vis.h5,0.3605243917901488,40.91152548671519,0.944562556346457,-14.533779653745057,0.5840381645563082,-55.44530514046025,True,2.710000000016137,21.39000000002185
5.398967742919922,5.367748260498047,1740170718.4205246,438050607,J2253+1608,343.4906164708333,16.148211377777777,342.8946980125,J2251+1848,18.811132083333334,-2523649.92736954,-4123697.10433308,4147773.43142168,-0.002749999999985535,-0.0036999999999858257,-2.9999999984701986e-05,-4.999999998470811e-05,-0.5999999999994401,-0.7999999999994429,9.903956413269043,12.61099624633789,13.48119068145752,14.239435195922852,14.370610237121582,15.771944999694824,110.40608978271484,80.45156860351562,336.4228515625,208.7355499267578,508,496,75.26214599609375,77.19657135009766,272.06878662109375,200.7517852783203,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/438050607/calibrated/J2251+1848_calibrated_to_J2253+1608_vis.h5,-0.10997252353433862,-33.03730444066542,0.45987540649619807,-30.37367040509682,0.5698479300305367,2.6636340355686023,True,-2.7499999999855347,-3.6999999999858257
4.7451171875,7.2593841552734375,1740170718.4205246,438050607,J2253+1608,343.4906164708333,16.148211377777777,356.0157097708333,J2344+8226,82.44455571944445,-2523649.92736954,-4123697.10433308,4147773.43142168,-0.0028299999999855593,0.0014900000000157634,-0.030939999999994167,-0.041909999999997526,5.900000000000652,6.500000000000661,8.250753402709961,12.147546768188477,10.393357276916504,11.975493431091309,12.420504570007324,18.149925231933594,110.40608978271484,80.45156860351562,336.4228515625,208.7355499267578,659,455,108.08441925048828,69.2040023803711,307.2835998535156,200.9322509765625,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/438050607/calibrated/J2344+8226_calibrated_to_J2253+1608_vis.h5,-0.10997252353433862,-33.03730444066542,-1.5666897362292738,33.42668974171308,-1.4567172126949353,66.46399418237851,True,-2.829999999985559,1.4900000000157634
10.839118957519531,4.940776824951172,1740170718.4205246,438050607,J2253+1608,343.4906164708333,16.148211377777777,344.4907013,B2255+58,59.15410341,-2523649.92736954,-4123697.10433308,4147773.43142168,2.0000000015313324e-05,-0.0009599999999849868,-0.012229999999988438,-0.012219999999988435,2.500000000000604,2.300000000000601,12.04355239868164,13.37665843963623,9.235391616821289,12.535255432128906,18.342439651489258,17.377538681030273,110.40608978271484,80.45156860351562,336.4228515625,208.7355499267578,541,504,83.8837661743164,75.8411865234375,287.09222412109375,196.661376953125,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/438050607/calibrated/B2255+58_calibrated_to_J2253+1608_vis.h5,-0.10997252353433862,-33.03730444066542,-0.5103727707641633,9.973307234392442,-0.4004002472298247,43.010611675057866,True,0.020000000015313324,-0.9599999999849868
6.908500671386719,3.7548561096191406,1740170718.4205246,438050607,J2253+1608,343.4906164708333,16.148211377777777,342.6372329916666,J2250+7129,71.48867473611111,-2523649.92736954,-4123697.10433308,4147773.43142168,-0.0007199999999849133,0.001570000000015788,-0.0290899999999936,-0.029129999999993612,4.100000000000627,4.400000000000631,13.15022087097168,11.606066703796387,12.616819381713867,11.727827072143555,19.776287078857422,16.26031494140625,110.40608978271484,80.45156860351562,336.4228515625,208.7355499267578,437,520,65.59859466552734,80.45156860351562,265.12298583984375,208.7355499267578,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/438050607/calibrated/J2250+7129_calibrated_to_J2253+1608_vis.h5,-0.10997252353433862,-33.03730444066542,0.30823791200785927,22.303740940442673,0.4182104355421979,55.341045381108096,True,-0.7199999999849133,1.5700000000157879
24.79741668701172,13.580562591552734,1740170718.4205246,438050607,J2253+1608,343.4906164708333,16.148211377777777,343.5389246541666,J2254+2445,24.756506313888888,-2523649.92736954,-4123697.10433308,4147773.43142168,-0.0016099999999851858,-0.0007299999999849163,-0.0037899999999858533,-0.0037999999999858564,0.3000000000005727,0.5000000000005755,45.40020751953125,28.830562591552734,43.95487594604492,25.436199188232422,45.043155670166016,25.81251335144043,110.40608978271484,80.45156860351562,336.4228515625,208.7355499267578,628,505,106.13164520263672,77.18464660644531,314.8798828125,205.05923461914062,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/438050607/calibrated/J2254+2445_calibrated_to_J2253+1608_vis.h5,-0.10997252353433862,-33.03730444066542,-0.1344338709832307,-24.428902895670653,-0.024461347448892085,8.60840154499477,True,-1.6099999999851857,-0.7299999999849163
10.065502166748047,8.415962219238281,1740170718.4205246,438050607,J2253+1608,343.4906164708333,16.148211377777777,343.9029493333333,J2255+4202,42.04792570833333,-2523649.92736954,-4123697.10433308,4147773.43142168,-0.0009399999999849806,0.0017000000000158277,-0.0071999999999868974,-0.007249999999986913,1.4000000000005883,2.000000000000597,25.3512020111084,21.369192123413086,25.79401206970215,14.444124221801758,33.77850341796875,22.056285858154297,110.40608978271484,80.45156860351562,336.4228515625,208.7355499267578,514,475,80.623291015625,73.67485046386719,277.16632080078125,195.67994689941406,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/J27_hco/438050607/calibrated/J2255+4202_calibrated_to_J2253+1608_vis.h5,-0.10997252353433862,-33.03730444066542,-0.3520959179153893,-7.135998656211269,-0.24212339438105068,25.901305784454152,True,-0.9399999999849806,1.7000000000158277
