incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,gbo_x,gbo_y,gbo_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,bw_00,bw_11,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns
6.623905181884766,4.341403961181641,1740702604.781253,438744122,J030011.1+820239,45.0464033110417,82.0442644588333,46.09168279625,J030422.0+682137,68.3604095848889,883726.8698975747,-4924468.099089417,3943962.642426154,-0.0028399999999855624,-0.05,-0.009089999999987476,-0.008999999999987449,1.4000000000005883,-7.299999999999535,11.760795593261719,10.57309627532959,11.04125690460205,8.815884590148926,13.966034889221191,8.699978828430176,24.88944435119629,19.896446228027344,20.056442260742188,7.656810760498047,484,323,22.802274703979492,13.919849395751953,19.598548889160156,4.780799865722656,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/438744122/calibrated/J030422.0+682137_calibrated_to_J030011.1+820239_vis.h5,0.024687947546765298,32.82232456579352,-0.22723561070474396,19.138546081976337,-0.25192355825150925,-13.683778483817186,True,-2.8399999999855625,-50.0
4.203285217285156,4.807796478271484,1740702604.781253,438744122,J030011.1+820239,45.0464033110417,82.0442644588333,45.8968425815833,J030335.2+471616,47.2711876312778,883726.8698975747,-4924468.099089417,3943962.642426154,-0.015919999999989567,-0.01866999999999041,-0.0098199999999877,0.010640000000018565,-1.8999999999994586,39.30000000000112,9.881425857543945,9.665075302124023,9.614351272583008,10.296445846557617,9.701970100402832,8.381268501281738,24.88944435119629,19.896446228027344,20.056442260742188,7.656810760498047,451,389,21.821125030517578,18.981840133666992,17.79874038696289,6.93182373046875,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/438744122/calibrated/J030335.2+471616_calibrated_to_J030011.1+820239_vis.h5,0.024687947546765298,32.82232456579352,-0.233133807710016,-1.9509050394294476,-0.2578217552567813,-34.77322960522297,True,-15.919999999989567,-18.66999999999041
5.346649169921875,5.796451568603516,1740702604.781253,438744122,J030011.1+820239,45.0464033110417,82.0442644588333,44.90706011666666,J0259+4235,42.59717019722223,883726.8698975747,-4924468.099089417,3943962.642426154,-0.0057499999999864534,0.047470000000029836,-0.027269999999993043,0.028920000000024162,3.1000000000006125,4.400000000000631,10.39371109008789,9.016729354858398,8.512055397033691,8.464176177978516,12.719868659973145,8.371582984924316,24.88944435119629,19.896446228027344,20.056442260742188,7.656810760498047,403,369,21.81822967529297,12.647811889648438,13.514373779296875,4.7951507568359375,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/438744122/calibrated/J0259+4235_calibrated_to_J030011.1+820239_vis.h5,0.024687947546765298,32.82232456579352,0.48217200390936055,-6.622412462298474,0.45748405636259526,-39.44473702809199,True,-5.7499999999864535,47.470000000029835
9.151443481445312,5.716644287109375,1745068843.3722444,1113459830,J1927+7358,291.9520630999999,73.96710280277777,287.89615577916663,J1911+2658,26.970489766666667,883726.8698975747,-4924468.099089417,3943962.642426154,-0.004249999999985994,0.0008000000000155522,-0.02033999999999092,-0.014299999999989071,4.100000000000627,5.400000000000645,9.559366226196289,10.802884101867676,12.394026756286621,9.5014066696167,16.93439483642578,11.498859405517578,18.67862319946289,22.727935791015625,23.396347045898438,28.340576171875,582,629,19.139284133911133,23.939477920532227,23.82754135131836,27.041732788085938,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/1113459830/calibrated/J1911+2658_calibrated_to_J1927+7358_vis.h5,-0.8954877829751954,24.723511523176313,0.2459045573614034,-22.305682665385255,1.1413923403365989,-47.02919418856157,True,-4.249999999985994,0.8000000000155522
5.265834808349609,5.873756408691406,1745068843.3722444,1113459830,J1927+7358,291.9520630999999,73.96710280277777,287.3920183249999,J1909+3510,35.18010063333333,883726.8698975747,-4924468.099089417,3943962.642426154,-0.0017299999999852225,0.0023100000000160145,-0.03183999999999444,-0.018099999999990235,4.500000000000632,5.200000000000642,11.623170852661133,9.720208168029785,10.15437126159668,9.332733154296875,14.061362266540527,15.088711738586426,18.67862319946289,22.727935791015625,23.396347045898438,28.340576171875,545,604,20.346172332763672,21.931331634521484,21.322952270507812,23.420665740966797,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/1113459830/calibrated/J1909+3510_calibrated_to_J1927+7358_vis.h5,-0.8954877829751954,24.723511523176313,0.666415788631452,-14.09449129506713,1.5619035716066474,-38.81800281824344,True,-1.7299999999852225,2.3100000000160144
14.690792083740234,9.381294250488281,1745068843.3722444,1113459830,J1927+7358,291.9520630999999,73.96710280277777,289.78683050416663,J1919+7433,74.55656541388889,883726.8698975747,-4924468.099089417,3943962.642426154,0.0025100000000160758,-0.0011199999999850357,-0.0020299999999853144,-0.0020199999999853113,1.0000000000005826,0.20000000000057128,19.562103271484375,16.213106155395508,18.555166244506836,17.741989135742188,19.686315536499023,18.05805778503418,18.67862319946289,22.727935791015625,23.396347045898438,28.340576171875,579,548,18.610811233520508,21.321210861206055,21.358531951904297,22.103271484375,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/1113459830/calibrated/J1919+7433_calibrated_to_J1927+7358_vis.h5,-0.8954877829751954,24.723511523176313,-0.28078092666817756,25.287135081750534,0.6147068563070178,0.5636235585742213,True,2.510000000016076,-1.1199999999850356
8.509052276611328,7.126556396484375,1745068843.3722444,1113459830,J1927+7358,291.9520630999999,73.96710280277777,19.318326924999997,J0117+8928,89.47999327222223,883726.8698975747,-4924468.099089417,3943962.642426154,0.0008200000000155583,0.0016600000000158155,0.0012400000000156869,0.0012100000000156777,0.10000000000056986,0.3000000000005727,10.26374340057373,11.957362174987793,14.106453895568848,22.17037582397461,13.970272064208984,22.22811508178711,18.67862319946289,22.727935791015625,23.396347045898438,28.340576171875,516,583,21.261566162109375,21.81967544555664,18.20382308959961,25.03730010986328,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/1113459830/calibrated/J0117+8928_calibrated_to_J1927+7358_vis.h5,-0.8954877829751954,24.723511523176313,-0.3398487116240073,40.73443151817296,0.5556390713511881,16.010919994996648,True,0.8200000000155583,1.6600000000158155
4.4793701171875,6.263652801513672,1744488611.695168,1112580244,J0136+4751,24.244145054166665,47.85808333333333,24.422081841666664,J0137+3309,33.15974409444444,883726.8698975747,-4924468.099089417,3943962.642426154,0.006730000000017368,0.00019000000001536538,0.0031400000000162687,0.004640000000016728,1.800000000000594,-0.9999999999994458,21.193843841552734,10.52231216430664,13.242947578430176,10.139620780944824,12.431276321411133,9.453088760375977,21.81723403930664,20.708620071411133,10.724220275878906,6.558570861816406,515,423,22.762622833251953,17.26417350769043,10.523738861083984,5.774631500244141,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/1112580244/calibrated/J0137+3309_calibrated_to_J0136+4751_vis.h5,-0.28641280875841635,-1.3326354896995904,-0.5021704085018581,-16.029745820666953,-0.21575759974344177,-14.697110330967362,True,6.730000000017368,0.19000000001536538
21.19512939453125,23.908123016357422,1744488611.695168,1112580244,J0136+4751,24.244145054166665,47.85808333333333,24.83201545518003,B0136+57,58.242064520204806,883726.8698975747,-4924468.099089417,3943962.642426154,-0.0007399999999849194,-0.0008499999999849531,-0.002139999999985348,-0.004019999999985924,0.5000000000005755,0.5000000000005755,35.71533203125,30.59991455078125,14.949138641357422,12.65245532989502,15.603413581848145,12.715685844421387,21.81723403930664,20.708620071411133,10.724220275878906,6.558570861816406,508,580,22.355337142944336,20.41002082824707,10.359588623046875,6.680877685546875,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/1112580244/calibrated/B0136+57_calibrated_to_J0136+4751_vis.h5,-0.28641280875841635,-1.3326354896995904,-0.5370084781110062,9.05408993042258,-0.2505956693525898,10.38672542012217,True,-0.7399999999849194,-0.849999999984953
4.498195648193359,9.251331329345703,1735401353.2642765,432617763,J143547.1+760525,218.946244180708,76.09050786575,219.686595489792,J143844.7+621154,62.1984549611389,883726.8698975747,-4924468.099089417,3943962.642426154,0.0015100000000157696,-0.0030199999999856175,0.01608000000002023,0.016060000000020225,-4.09999999999949,-5.099999999999504,8.546907424926758,9.5569429397583,10.656476974487305,12.655014038085938,10.892374038696289,15.154751777648926,12.889304161071777,9.765154838562012,12.470329284667969,13.044174194335938,492,570,12.700900077819824,10.339309692382812,12.632984161376953,12.537471771240234,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/432617763/calibrated/J143844.7+621154_calibrated_to_J143547.1+760525_vis.h5,-0.4408046419618543,26.669742951464197,-1.3296559156895913,12.79945966062177,-0.888851273727737,-13.870283290842428,True,1.5100000000157696,-3.0199999999856173
