incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,hco_x,hco_y,hco_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,snr_xx,snr_yy,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,tau_xx_ns,pulsar_good_pos
7.097354888916016,7.5213623046875,1739048322.2880933,436802603,J221237.9+015251,333.158223162667,1.8808864044444,19.318315779166664,J0117+8928,89.47999330555555,-2523644.20461515,-4123700.15073725,4147774.06853484,-0.008036249999992584,-0.017428749999998272,-0.0683462499999692,-0.10211874999996544,14.260000000005356,12.670000000005103,7.5175299644470215,8.664315223693848,0.7419050025664669,-47.309469332663724,-0.2629683252614521,40.44016569197882,-1.004873327827919,87.74963502464254,-8.036249999992584,True
4.436439514160156,6.078834533691406,1739048322.2880933,436802603,J221237.9+015251,333.158223162667,1.8808864044444,334.9503901,B2217+47,47.91479985,-2523644.20461515,-4123700.15073725,4147774.06853484,-0.009699374999983489,0.00045250000001254703,-0.04708937499996899,-0.04708749999996902,5.4000000000039705,7.2100000000042535,11.442891120910645,10.151590347290039,0.7419050025664669,-47.309469332663724,-0.6262795057942918,-1.2738022060642122,-1.3681845083607587,46.03566712659951,-9.699374999983489,False
6.044353485107422,16.799461364746094,1739099869.984201,436846084,J122906.6+020308,187.27791559125,2.0523883655278,189.9174296,B1237+25,24.89752181,-2523644.20461515,-4123700.15073725,4147774.06853484,-0.0465749999999434,0.039326875000023735,0.016025000000032315,0.02022687500003114,-9.629999999998379,2.480000000003514,8.71962833404541,22.517250061035156,1.9905473335145505,-47.36911625981439,-0.5610458806398764,-24.557098251256058,-2.551593214154427,22.812018008558333,-46.5749999999434,False
15.314750671386719,11.288375854492188,1739099869.984201,436846084,J122906.6+020308,187.27791559125,2.0523883655278,19.318315779166664,J0117+8928,89.47999330555555,-2523644.20461515,-4123700.15073725,4147774.06853484,-0.0006999999999677425,-0.0012549999999517739,0.029320000000020618,0.04385500000003074,-6.279999999997855,-6.569999999997901,11.678301811218262,15.628119468688965,1.9905473335145505,-47.36911625981439,0.15993193953520238,41.05391614580069,-1.8306153939793481,88.42303240561509,-0.6999999999677425,True
21.95464324951172,11.040786743164062,1739516210.3831358,437407705,J083454.9+553421,128.728766615667,55.5725195391389,127.79174230833334,J0831+3742,37.702658694444445,-2523644.20461515,-4123700.15073725,4147774.06853484,-0.0008862499999682154,0.0017256250000307416,0.0007137500000311643,0.0006856250000311448,-0.4399999999969424,0.17000000000315296,44.22418975830078,21.130046844482422,-0.02937093077022753,6.164621554307567,0.7341811488961478,-11.699593167043995,0.7635520796663754,-17.864214721351562,-0.8862499999682154,True
6.856834411621094,9.990398406982422,1739516210.3831358,437407705,J083454.9+553421,128.728766615667,55.5725195391389,129.27352832733587,B0834+06,6.171162696536083,-2523644.20461515,-4123700.15073725,4147774.06853484,0.001936875000038231,0.004880000000039301,0.021456875000030663,0.026290000000031,-3.379999999997402,-2.809999999997313,19.516616821289062,15.039313316345215,-0.02937093077022753,6.164621554307567,-0.5092987299315677,-43.23492077497617,-0.47992779916134015,-49.39954232928373,1.9368750000382309,True
49.39745330810547,19.020034790039062,1739516210.3831358,437407705,J083454.9+553421,128.728766615667,55.5725195391389,130.351522021167,J084124.3+705342,70.8950480676389,-2523644.20461515,-4123700.15073725,4147774.06853484,-0.0012881249999675448,-0.00037812499996789763,0.0022118750000310983,0.0021718750000311138,-0.8199999999970018,-0.6299999999969721,51.416690826416016,38.504478454589844,-0.02937093077022753,6.164621554307567,-0.5772964236583004,21.49257328343389,-0.5479254928880728,15.327951729126324,-1.2881249999675448,True
10.137203216552734,14.726009368896484,1739516210.3831358,437407705,J083454.9+553421,128.728766615667,55.5725195391389,19.318315779166664,J0117+8928,89.47999330555555,-2523644.20461515,-4123700.15073725,4147774.06853484,-0.002959999999964928,-0.001149374999963055,0.007150000000031152,0.013790625000031153,-2.1799999999972144,-1.7799999999971519,28.596702575683594,16.29688262939453,-0.02937093077022753,6.164621554307567,0.42781701530354116,40.76387603068843,0.45718794607376867,34.599254476380864,-2.959999999964928,True
21.73424530029297,11.707740783691406,1739232603.9589171,437005071,J0137+3309,24.422081866666662,33.15974373333333,24.832017136109187,B0136+57,58.242065288724525,-2523644.20461515,-4123700.15073725,4147774.06853484,0.01041750000002831,0.007758750000029645,0.004347500000030664,0.004348750000030967,1.450000000003353,0.8300000000032561,22.876827239990234,14.209577560424805,-0.4935800399666385,-16.0306673301023,-0.5314279812430613,9.053166619824113,-0.037847941276422825,25.083833949926415,10.41750000002831,True
6.2687835693359375,6.920127868652344,1739232603.9589171,437005071,J0137+3309,24.422081866666662,33.15974373333333,25.28811899583333,J0141+1353,13.891222872222222,-2523644.20461515,-4123700.15073725,4147774.06853484,0.012555000000029784,0.01360375000002956,0.008425000000031385,0.00836375000003159,0.7000000000032358,0.8600000000032608,11.374542236328125,11.823137283325195,-0.4935800399666385,-16.0306673301023,-1.408954082140081,-35.28480102591569,-0.9153740421734424,-19.25413369581339,12.555000000029784,True
