Unnamed: 0,incoh_snr_xx,incoh_snr_yy,ctime,event_id,ra,name,dec,hco_x,hco_y,hco_z,chime_x,chime_y,chime_z,taus_xx,taus_yy,taus_no_iono_xx,taus_no_iono_yy,taus_no_ionono_amp_weight_xx,taus_no_ionono_amp_weight_yy,tausno_amp_weight_xx,tausno_amp_weight_yy,tecs_xx,tecs_yy,snr_xx_tecs,snr_yy_tecs,tecsno_amp_weight_xx,tecsno_amp_weight_yy,snr_xx_tecsno_amp_weight,snr_yy_tecsno_amp_weight,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,calibrator_name,calibrator_ra,calibrator_dec,bw_00,bw_11,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y
6,112.30067443847656,51.6878662109375,1744955362.7199843,20250418054922,19.318326925,J0117+8928,89.47999327222223,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,0.0040100000000165,0.0016400000000158,-0.0191699999999905,-0.0192199999999905,-0.0191699999999905,-0.0192199999999905,0.0040100000000165,0.0016400000000158,6.700000000000379,6.0000000000003695,58.12659454345703,42.34532165527344,6.700000000000379,6.0000000000003695,58.126583099365234,42.34532165527344,44.23957061767578,34.10386657714844,42.45344924926758,31.835020065307617,60.78525924682617,51.80304336547852,66.208984375,52.94999313354492,60.62419128417969,51.14157485961914,60.84004974365234,51.0747184753418,J1132+6324,173.14624882499996,63.401971394444445,414,378,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J0117+8928_calibrated_to_J1132+6324_vis.h5,0.3881628524394738,13.94371182146803,0.254623386127593,41.0092786594046,-0.1335394663118808,27.06556683793657
14,16.595989227294922,9.546756744384766,1744955362.7199843,20250418054922,175.2065600458333,J1140+5912,59.20704904722223,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,0.002400000000016,0.0020500000000159,0.0258400000000232,0.0258400000000232,0.0258400000000232,0.0258400000000232,0.002400000000016,0.0020500000000159,-7.099999999999817,-6.999999999999815,35.96926498413086,21.019575119018555,-7.099999999999817,-6.999999999999815,35.96928024291992,21.019575119018555,36.386505126953125,26.686107635498047,27.322763442993164,13.405941009521484,41.23980331420898,35.29559326171875,74.86582946777344,48.73320007324219,42.703651428222656,43.759761810302734,124.00079345703124,53.00382995605469,J2344+8226,356.0157097708333,82.44455571944445,343,343,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1140+5912_calibrated_to_J2344+8226_vis.h5,0.3031585643773976,48.089621683281415,-0.6160721297824718,9.752626681438478,-0.9192306941598696,-38.336995001842936
84,59.92972183227539,28.47826766967773,1744955362.7199843,20250418054922,173.77471806666665,J1135+3708,37.14465811666667,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,0.0007600000000155,-8.999999998472036e-05,0.0060800000000171,0.0061400000000171,0.0060800000000171,0.0061400000000171,0.0007600000000155,-8.999999998472036e-05,-1.69999999999974,-1.8999999999997428,54.80767822265625,44.45466613769531,-1.69999999999974,-1.8999999999997428,54.80769348144531,44.45466232299805,58.26888275146485,47.4094352722168,53.27121353149414,43.82230758666992,62.63315200805664,55.5069580078125,89.60377502441406,53.3576545715332,61.587493896484375,58.961669921875,95.40357971191406,73.17192077636719,J1145+6958,176.28145293333333,69.971079725,426,386,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1135+3708_calibrated_to_J1145+6958_vis.h5,-0.7685256753930098,20.52447149514045,0.1586648077313948,-12.315326515453147,0.9271904831244048,-32.8397980105936
94,13.460433959960938,20.786216735839844,1744955362.7199843,20250418054922,172.26723909166662,J1129+5638,56.64556688888889,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,-0.0021399999999853,0.0017000000000158,-0.0024899999999854,-0.0024799999999854,-0.0024899999999854,-0.0024799999999854,-0.0021399999999853,0.0017000000000158,-0.0999999999997172,1.1000000000002998,32.00333786010742,29.11202621459961,-0.0999999999997172,1.1000000000002998,32.00333786010742,29.11202621459961,30.692371368408203,31.09552955627441,31.947410583496094,29.54025650024414,85.23379516601562,71.10541534423828,135.59097290039062,79.6724853515625,68.31697845458984,57.52894973754883,112.63050079345705,84.12391662597656,J1135+4258,173.98328741666666,42.97907138333333,359,334,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1129+5638_calibrated_to_J1135+4258_vis.h5,-0.0029052311404779,-6.481013211356105,0.9515206487836568,7.195532242384057,0.9544258799241347,13.67654545374016
99,133.71923828125,42.92173767089844,1744955362.7199843,20250418054922,19.318326925,J0117+8928,89.47999327222223,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,0.0008100000000155,-0.0030499999999856,-0.0311699999999942,-0.0226399999999916,-0.0311699999999942,-0.0226399999999916,0.0008100000000155,-0.0030499999999856,7.100000000000385,5.900000000000368,32.10953521728516,18.658767700195312,7.100000000000385,5.900000000000368,32.109527587890625,18.658771514892575,44.23957061767578,34.10386657714844,22.18020248413086,13.407049179077148,36.386505126953125,26.686107635498047,21.018299102783203,11.37313461303711,36.35172271728516,26.397846221923828,20.202808380126957,10.989437103271484,J1140+5912,175.2065600458333,59.20704904722223,378,351,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J0117+8928_calibrated_to_J1140+5912_vis.h5,-0.6160721297824718,9.752626681438478,0.254623386127593,41.0092786594046,0.8706955159100649,31.25665197796612
121,97.20291137695312,43.17412185668945,1744955362.7199843,20250418054922,19.318326925,J0117+8928,89.47999327222223,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,9.000000001533476e-05,0.0001100000000153,-0.0243999999999921,-0.0243999999999921,-0.0243999999999921,-0.0243999999999921,9.000000001533476e-05,0.0001100000000153,6.800000000000381,6.800000000000381,36.42272186279297,25.81583976745605,6.800000000000381,6.800000000000381,36.42272567749024,25.81583976745605,44.23957061767578,34.10386657714844,27.33074378967285,19.16864776611328,41.42969131469727,32.791656494140625,27.30475234985352,12.68643569946289,39.71417999267578,32.34937286376953,25.22684860229492,12.243453979492188,J1132+5100,173.20993710833332,51.00553305555555,478,413,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J0117+8928_calibrated_to_J1132+5100_vis.h5,0.4901969886722405,1.5475495256957372,0.254623386127593,41.0092786594046,-0.2355736025446475,39.461729133708864
124,67.1724853515625,30.011150360107425,1744955362.7199843,20250418054922,173.77471806666665,J1135+3708,37.14465811666667,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,-0.0005199999999848,0.0018700000000158,0.0243800000000227,0.0244200000000227,0.0243800000000227,0.0244200000000227,-0.0005199999999848,0.0018700000000158,-7.599999999999824,-6.899999999999814,52.51649475097656,38.77056503295898,-7.599999999999824,-6.899999999999814,52.51650619506836,38.77058029174805,58.26888275146485,47.4094352722168,40.92704391479492,32.138267517089844,41.23980331420898,35.29559326171875,74.86582946777344,48.73320007324219,38.1343994140625,44.58175277709961,98.88742065429688,51.23811340332031,J2344+8226,356.0157097708333,82.44455571944445,393,381,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1135+3708_calibrated_to_J2344+8226_vis.h5,0.3031585643773976,48.089621683281415,0.1586648077313948,-12.315326515453147,-0.1444937566460027,-60.40494819873456
135,100.54460144042967,40.88139343261719,1744955362.7199843,20250418054922,19.318326925,J0117+8928,89.47999327222223,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,-0.0013299999999851,0.0013300000000157,-0.0261999999999927,-0.0246399999999922,-0.0261999999999927,-0.0246399999999922,-0.0013299999999851,0.0013300000000157,6.700000000000379,7.300000000000388,37.977149963378906,22.79191398620605,6.700000000000379,7.300000000000388,37.97715377807617,22.791919708251957,44.23957061767578,34.10386657714844,26.756879806518555,19.606433868408203,27.300765991210938,24.66564178466797,21.45547866821289,7.644927978515625,30.216854095458984,25.957942962646484,21.705371856689453,7.380443572998047,J1137+3950,174.41949813333332,39.84676115555556,389,333,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J0117+8928_calibrated_to_J1137+3950_vis.h5,-0.3403299104186385,-9.61206556136295,0.254623386127593,41.0092786594046,0.5949532965462316,50.621344220767554
154,93.1645278930664,43.2380485534668,1744955362.7199843,20250418054922,19.318326925,J0117+8928,89.47999327222223,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,0.0015600000000157,-0.0017299999999852,-0.0229099999999917,-0.0229599999999917,-0.0229099999999917,-0.0229599999999917,0.0015600000000157,-0.0017299999999852,6.800000000000381,5.900000000000368,35.83863830566406,26.235639572143555,6.800000000000381,5.900000000000368,35.83863830566406,26.235645294189453,44.23957061767578,34.10386657714844,27.147645950317383,21.486825942993164,30.692371368408203,31.09552955627441,15.519756317138672,24.584938049316406,30.209936141967773,30.49442481994629,14.894367218017578,22.09870147705078,J1129+5638,172.26723909166662,56.64556688888889,401,353,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J0117+8928_calibrated_to_J1129+5638_vis.h5,0.9515206487836568,7.195532242384057,0.254623386127593,41.0092786594046,-0.6968972626560638,33.813746417020546
157,132.9554901123047,77.774169921875,1744955362.7199843,20250418054922,173.98328741666666,J1135+4258,42.97907138333333,-2523644.20739404,-4123700.3658239,4147773.46403909,-2059166.313,-3621302.972,4814304.113,-0.0008699999999849,-0.0002999999999847,0.01542000000002,0.01543000000002,0.01542000000002,0.01543000000002,-0.0008699999999849,-0.0002999999999847,-4.999999999999787,-4.699999999999783,47.06127166748047,32.024295806884766,-4.999999999999787,-4.699999999999783,47.06126403808594,32.0242919921875,85.23379516601562,71.10541534423828,45.79423141479492,26.453031539916992,32.384002685546875,27.092588424682617,27.704368591308597,18.408653259277344,40.718875885009766,26.986736297607425,26.914630889892575,15.777427673339844,J1153+8058,178.30208010833329,80.97476514166667,387,343,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1135+4258_calibrated_to_J1153+8058_vis.h5,-0.6506857726076916,31.538061488972343,-0.0029052311404779,-6.481013211356105,0.6477805414672136,-38.01907470032845
