Unnamed: 0,incoh_snr_xx,incoh_snr_yy,ctime,event_id,ra,name,dec,gbo_x,gbo_y,gbo_z,chime_x,chime_y,chime_z,taus_xx,taus_yy,taus_no_iono_xx,taus_no_iono_yy,taus_no_ionono_amp_weight_xx,taus_no_ionono_amp_weight_yy,tausno_amp_weight_xx,tausno_amp_weight_yy,tecs_xx,tecs_yy,snr_xx_tecs,snr_yy_tecs,tecsno_amp_weight_xx,tecsno_amp_weight_yy,snr_xx_tecsno_amp_weight,snr_yy_tecsno_amp_weight,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,calibrator_name,calibrator_ra,calibrator_dec,bw_00,bw_11,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y
2,27.99088287353516,18.76958465576172,1744955362.7199843,20250418054922,172.26723909166662,J1129+5638,56.64556688888889,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,0.0017800000000158,0.0017300000000158,-0.0022499999999853,-0.0022699999999853,-0.0022499999999853,-0.0022699999999853,0.0017800000000158,0.0017300000000158,0.7000000000002942,0.7000000000002942,35.638427734375,31.585081100463867,0.7000000000002942,0.7000000000002942,35.63842010498047,31.585081100463867,26.511619567871094,21.60594367980957,34.64859771728516,30.606529235839844,26.31256866455078,20.24663734436035,29.49880599975586,19.892112731933597,25.654176712036133,19.07491683959961,26.66683959960937,18.659202575683597,J1139+4032,174.76139261666663,40.54856704722222,442,456,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1129+5638_calibrated_to_J1139+4032_vis.h5,-0.5961002563651527,-8.907945424703586,0.9515206487836568,7.195532242384057,1.5476209051488097,16.103477667087642
10,27.54907989501953,19.58247756958008,1744955362.7199843,20250418054922,174.76139261666663,J1139+4032,40.54856704722222,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,-0.0007299999999849,0.0002000000000153,0.0196800000000213,0.0197000000000213,0.0196800000000213,0.0197000000000213,-0.0007299999999849,0.0002000000000153,-3.599999999999767,-3.399999999999764,45.22457885742188,35.73258209228516,-3.599999999999767,-3.399999999999764,45.224571228027344,35.73258972167969,26.31256866455078,20.24663734436035,27.405786514282227,22.253177642822266,28.86663055419922,33.6020393371582,66.13899993896484,51.99578857421875,29.11156463623047,34.083030700683594,58.61735534667969,45.77299499511719,J1153+8058,178.30208010833329,80.97476514166667,437,483,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1139+4032_calibrated_to_J1153+8058_vis.h5,-0.6506857726076916,31.538061488972343,-0.5961002563651527,-8.907945424703586,0.0545855162425388,-40.44600691367593
13,35.055389404296875,22.43393325805664,1744955362.7199843,20250418054922,173.14624882499996,J1132+6324,63.401971394444445,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,-0.0017299999999852,0.0031800000000162,-0.007609999999987,-0.007639999999987,-0.007609999999987,-0.007639999999987,-0.0017299999999852,0.0031800000000162,1.1000000000002998,2.0000000000003126,38.47643280029297,29.72007369995117,1.1000000000002998,2.0000000000003126,38.47642517089844,29.72007369995117,25.40956115722656,24.5500545501709,32.1109733581543,26.00588035583496,31.27057647705078,29.7661075592041,47.54456329345703,30.28895568847656,30.53431701660156,30.77145195007324,44.96543502807617,26.061527252197266,J1139+3803,174.8917061833333,38.06165832222222,475,450,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1132+6324_calibrated_to_J1139+3803_vis.h5,-0.7220843379922839,-11.393440126482943,0.3881628524394738,13.94371182146803,1.1102471904317577,25.33715194795097
17,28.171772003173828,15.802604675292969,1744955362.7199843,20250418054922,173.20993710833332,J1132+5100,51.00553305555555,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,-0.0029899999999856,-0.001159999999985,-0.0029899999999856,-0.0029499999999855,-0.0029899999999856,-0.0029499999999855,-0.0029899999999856,-0.001159999999985,2.842170943040401e-13,0.4000000000002899,35.800933837890625,27.644672393798828,2.842170943040401e-13,0.4000000000002899,35.800926208496094,27.64466667175293,25.497926712036133,21.189430236816406,35.800926208496094,26.92899703979492,31.27057647705078,29.7661075592041,47.54456329345703,30.28895568847656,33.98721694946289,30.69671630859375,42.96861267089844,29.301944732666016,J1139+3803,174.8917061833333,38.06165832222222,492,502,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1132+5100_calibrated_to_J1139+3803_vis.h5,-0.7220843379922839,-11.393440126482943,0.4901969886722405,1.5475495256957372,1.2122813266645245,12.94098965217868
18,21.542911529541016,25.920040130615234,1744955362.7199843,20250418054922,172.7220109,J1130+3815,38.25515191111111,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,0.0038700000000164,0.0047300000000167,0.0020800000000159,0.0020500000000159,0.0020800000000159,0.0020500000000159,0.0038700000000164,0.0047300000000167,0.4000000000002899,0.6000000000002927,35.66114807128906,34.67680740356445,0.4000000000002899,0.6000000000002927,35.6611442565918,34.67679214477539,22.309467315673828,23.004119873046875,34.97247314453125,33.20848846435547,26.99831199645996,23.617137908935547,44.77031707763672,25.919845581054688,28.721954345703125,23.86372184753418,38.31299209594727,24.008399963378903,J1137+3950,174.41949813333332,39.84676115555556,377,525,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1130+3815_calibrated_to_J1137+3950_vis.h5,-0.3403299104186385,-9.61206556136295,0.983706111126318,-11.197301015894343,1.3240360215449565,-1.585235454531393
25,22.42926788330078,20.59282684326172,1744955362.7199843,20250418054922,172.26723909166662,J1129+5638,56.64556688888889,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,0.0001200000000153,0.0010100000000156,-0.001159999999985,-0.0030299999999856,-0.001159999999985,-0.0030299999999856,0.0001200000000153,0.0010100000000156,0.5000000000002913,0.7000000000002942,38.994285583496094,31.22673797607422,0.5000000000002913,0.7000000000002942,38.994285583496094,31.22673225402832,26.511619567871094,21.60594367980957,37.86355209350586,30.407602310180664,31.27057647705078,29.7661075592041,47.54456329345703,30.28895568847656,30.56814384460449,32.99323654174805,44.32084274291992,26.313011169433597,J1139+3803,174.8917061833333,38.06165832222222,467,464,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1129+5638_calibrated_to_J1139+3803_vis.h5,-0.7220843379922839,-11.393440126482943,0.9515206487836568,7.195532242384057,1.6736049867759406,18.588972368867
50,25.443862915039062,16.723251342773438,1744955362.7199843,20250418054922,172.44983193749997,J1129+5025,50.43091995555555,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,4.000000001531945e-05,-0.0008499999999849,-0.0031499999999856,-0.0030999999999856,-0.0031499999999856,-0.0030999999999856,4.000000001531945e-05,-0.0008499999999849,0.5000000000002913,0.3000000000002885,45.89906692504883,37.45048522949219,0.5000000000002913,0.3000000000002885,45.89907836914063,37.45048141479492,25.550128936767575,22.61188125610352,45.352970123291016,36.97111129760742,40.7340087890625,40.18658828735352,186.69293212890625,128.86135864257812,41.2630500793457,41.06607818603516,141.9146728515625,103.9823989868164,J1135+4258,173.98328741666666,42.97907138333333,430,476,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1129+5025_calibrated_to_J1135+4258_vis.h5,-0.0029052311404779,-6.481013211356105,0.9798757595914316,0.9799791404938746,0.9827809907319096,7.460992351849979
55,23.1831169128418,15.705352783203123,1744955362.7199843,20250418054922,172.44983193749997,J1129+5025,50.43091995555555,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,-0.0030299999999856,-0.0021399999999853,-0.0039299999999858,-0.0039199999999858,-0.0039299999999858,-0.0039199999999858,-0.0030299999999856,-0.0021399999999853,0.200000000000287,0.4000000000002899,37.53676223754883,27.93508529663086,0.200000000000287,0.4000000000002899,37.53675079345703,27.935083389282227,25.550128936767575,22.61188125610352,37.52968215942383,26.72954368591309,31.27057647705078,29.7661075592041,47.54456329345703,30.28895568847656,35.34394836425781,28.64594078063965,40.03974533081055,28.68731689453125,J1139+3803,174.8917061833333,38.06165832222222,408,453,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1129+5025_calibrated_to_J1139+3803_vis.h5,-0.7220843379922839,-11.393440126482943,0.9798757595914316,0.9799791404938746,1.7019600975837157,12.373419266976818
76,22.03020477294922,14.983360290527344,1744955362.7199843,20250418054922,174.84653645833333,J1139+5300,53.01521246666667,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,-0.0027599999999855,-0.0027199999999855,0.0158400000000201,0.0136900000000195,0.0158400000000201,0.0136900000000195,-0.0027599999999855,-0.0027199999999855,-3.1999999999997613,-3.1999999999997613,36.609004974365234,28.50285148620605,-3.1999999999997613,-3.1999999999997613,36.6090087890625,28.50285148620605,21.673587799072266,17.779048919677734,20.952301025390625,18.56659507751465,28.86663055419922,33.6020393371582,66.13899993896484,51.99578857421875,27.719316482543945,31.76474952697754,53.43597030639648,45.60178756713867,J1153+8058,178.30208010833329,80.97476514166667,455,418,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1139+5300_calibrated_to_J1153+8058_vis.h5,-0.6506857726076916,31.538061488972343,-0.5141240530109968,3.558523448575261,0.1365617195966947,-27.979538040397085
77,164.40155029296875,100.05763244628906,1744955362.7199843,20250418054922,173.98328741666666,J1135+4258,42.97907138333333,883728.02446502,-4924463.3225994,3943957.56097847,-2059166.313,-3621302.972,4814304.113,-0.0015399999999851,-0.0015999999999851,0.0017000000000158,0.0016200000000158,0.0017000000000158,0.0016200000000158,-0.0015399999999851,-0.0015999999999851,-0.8999999999997286,-0.8999999999997286,34.29148483276367,20.60499382019043,-0.8999999999997286,-0.8999999999997286,34.291481018066406,20.60499382019043,40.7340087890625,40.18658828735352,31.167835235595703,19.998889923095703,13.264175415039062,11.803874969482422,10.995010375976562,5.970500946044922,14.091875076293944,10.540278434753418,9.251388549804688,4.399486541748047,J1138+2524,174.50994959999997,25.406981138888888,540,411,/arc/projects/chime_frb/vlbi/manual_triggers/2025/04/18/20250418054922/calibrator_calibrated_visibilities/J1135+4258_calibrated_to_J1138+2524_vis.h5,-0.4924478516014428,-24.0508571509121,-0.0029052311404779,-6.481013211356105,0.4895426204609649,17.569843939555994
