incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,gbo_x,gbo_y,gbo_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns
4.051399230957031,6.3520050048828125,1740791938.8477173,438913616,J035902.6+600522,59.7609996136667,60.0894637845278,62.69004559999999,J0410+7656,76.94592036944445,883726.8698975747,-4924468.099089417,3943962.642426154,0.06892687500000548,0.017438750000025406,0.0029068750000310712,0.0029487500000310246,24.30000000000092,5.100000000000641,19.41016960144043,18.611730575561523,12.678557395935059,9.823991775512695,12.345160484313965,9.97167682647705,24.867839813232422,14.083005905151367,16.263961791992188,9.358367919921875,32.06488800048828,20.60064125061035,13.868148803710938,5.4191741943359375,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/438913616/calibrated_bw_400_600_masked/J0410+7656_calibrated_bw_400_600_masked_to_J035902.6+600522_vis.h5,-0.515183655813002,10.843887323103722,-0.9372835456117153,27.72193560548928,-0.4220998897987134,16.878048282385556,True,68.92687500000548,17.438750000025408
4.856910705566406,5.980968475341797,1705802310.5385113,353865009,J015734.9+744243,29.39568708125,74.7120082993333,31.407960625,J0205+7522,75.36895439999999,883726.8698975747,-4924468.099089417,3943962.642426154,-0.015001249999962985,-0.6839406249999657,-0.0005312499999685955,-0.675350624999969,-5.099999999999504,-3.0999999999994756,13.647638320922852,11.64929485321045,9.749435424804688,9.591586112976074,10.534945487976074,10.352316856384277,20.761842727661133,16.51127052307129,7.373542785644531,5.059452056884766,20.773738861083984,20.54663848876953,7.214515686035156,6.952991485595703,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/353865009/calibrated_bw_400_600_masked/J0205+7522_calibrated_bw_400_600_masked_to_J015734.9+744243_vis.h5,0.031976282296420994,25.508345087188406,-0.47846122407954955,26.171226659328706,-0.5104375063759705,0.6628815721403001,True,-15.001249999962985,-683.9406249999656
5.658824920654297,5.708518981933594,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,149.696854638875,J095847.2+653354,65.5652272326667,883726.8698975747,-4924468.099089417,3943962.642426154,-0.2656774999999487,0.06565062500005757,-0.21300749999996915,0.13438062500003095,-20.29999999999972,21.30000000000087,11.052971839904785,13.327301025390625,8.308212280273438,7.855349540710449,9.032331466674805,7.852354049682617,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,30.267358779907227,30.284194946289062,12.950977325439453,8.11258316040039,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated_bw_400_600_masked/J095847.2+653354_calibrated_bw_400_600_masked_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,1.2139394641124135,16.146259898870532,1.451677069333686,23.51438523400796,True,-265.67749999994874,65.65062500005757
3.402538299560547,4.344390869140625,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,151.922908705333,J100741.4+135629,13.9415557686111,883726.8698975747,-4924468.099089417,3943962.642426154,-0.04338749999995253,-0.40164249999999707,-0.0011574999999688978,-0.47444249999996885,-13.29999999999962,7.400000000000674,15.093544006347656,11.079864501953125,10.3191556930542,8.029397964477539,12.39181900024414,8.169015884399414,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,29.756977081298828,28.795631408691406,15.34722900390625,8.0341796875,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated_bw_400_600_masked/J100741.4+135629_calibrated_bw_400_600_masked_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,0.722137690362572,-35.49831539068291,0.9598752955838445,-28.130190055545484,True,-43.387499999952524,-401.6424999999971
3.602153778076172,4.0642242431640625,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,19.318315779166664,J0117+8928,89.47999330555555,883726.8698975747,-4924468.099089417,3943962.642426154,0.09060125000000008,-1.32661562499995,0.009851250000031378,-1.2766856249999692,28.400000000000972,-15.699999999999655,12.269824981689453,9.381016731262207,8.439852714538574,9.37805461883545,8.065988540649414,9.020912170410156,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,34.586463928222656,28.85220718383789,15.396915435791016,8.575794219970703,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated_bw_400_600_masked/J0117+8928_calibrated_bw_400_600_masked_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,0.3605242981069996,40.91152553789507,0.5982619033282721,48.2796508730325,True,90.60125000000008,-1326.61562499995
4.607456207275391,3.050731658935547,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,152.52066956249996,J1010+4522,45.37296694444444,883726.8698975747,-4924468.099089417,3943962.642426154,0.0028668750000301175,0.24759125000002935,-0.0003731249999686264,0.24343125000003096,0.9000000000005812,1.6000000000005912,21.292638778686523,11.793234825134277,13.313023567199707,8.210182189941406,13.276453018188477,8.461063385009766,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,35.454532623291016,24.88907241821289,15.412986755371094,7.931884765625,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated_bw_400_600_masked/J1010+4522_calibrated_bw_400_600_masked_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,0.09331252882555212,-4.071383240688424,0.3310501340468246,3.296742094449005,True,2.8668750000301175,247.59125000002936
4.589527130126953,3.675983428955078,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,148.697678690042,J095447.4+743557,74.599206971,883726.8698975747,-4924468.099089417,3943962.642426154,-0.004047499999967777,0.31509000000003246,-0.00019749999996927,0.31776000000003146,-1.1999999999994486,-1.0999999999994472,14.583484649658203,14.371868133544922,11.695413589477539,8.378593444824219,11.797220230102539,8.249675750732422,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,35.64738845825195,29.97942352294922,16.946483612060547,9.068622589111328,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated_bw_400_600_masked/J095447.4+743557_calibrated_bw_400_600_masked_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,1.0375418679537562,25.18566901521975,1.2752794731750288,32.55379435035718,True,-4.047499999967777,315.09000000003243
4.4827728271484375,6.757083892822266,1739694259.7342567,437574971,J1011+4204,152.97573187499998,42.07593759444445,153.25670956666664,J1013+2448,24.81029649722222,883726.8698975747,-4924468.099089417,3943962.642426154,0.0021150000000304393,0.020856250000023478,-0.00025499999996864196,0.0012762500000310672,0.7000000000005784,6.400000000000659,19.88616371154785,11.84744644165039,12.140436172485352,8.061877250671387,11.97309684753418,9.097478866577148,51.71628189086914,28.47919273376465,23.802635192871094,12.466896057128906,35.63595962524414,21.808876037597656,17.031063079833984,7.4505767822265625,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437574971/calibrated_bw_400_600_masked/J1013+2448_calibrated_bw_400_600_masked_to_J1011+4204_vis.h5,-0.2377376052212725,-7.368125335137429,-0.5387383356836066,-24.632028304355213,-0.3010007304623341,-17.263902969217785,True,2.1150000000304394,20.85625000002348
18.777740478515625,16.47918701171875,1739516210.3831358,437407705,J083454.9+553421,128.728766615667,55.5725195391389,130.351522021167,J084124.3+705342,70.8950480676389,883726.8698975747,-4924468.099089417,3943962.642426154,0.002485000000032234,0.0003993750000326488,0.006335000000030741,0.004849375000030924,-1.1999999999994486,-1.4999999999994529,34.39389419555664,30.829919815063477,26.477174758911133,25.886545181274414,26.505950927734375,26.4725399017334,33.13148498535156,30.19402503967285,78.72280883789062,43.626617431640625,36.72353744506836,48.99082946777344,50.088783264160156,34.78742218017578,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/437407705/calibrated_bw_400_600_masked/J084124.3+705342_calibrated_bw_400_600_masked_to_J083454.9+553421_vis.h5,-0.02937093077022753,6.164621554307567,-0.5772964236583004,21.49257328343389,-0.5479254928880728,15.327951729126324,True,2.485000000032234,0.3993750000326488
4.225976943969727,4.137687683105469,1737902359.4002829,435339999,J145907.5+714019,224.781599616833,71.6721852248056,226.539708230375,J150609.5+373051,37.5142034725556,883726.8698975747,-4924468.099089417,3943962.642426154,0.002455625000032397,0.014334375000028458,0.006315625000030901,0.007814375000030986,-1.1999999999994486,2.300000000000601,14.786277770996094,10.790535926818848,14.788156509399414,9.889128684997559,14.490423202514648,10.107693672180176,21.404296875,19.35207176208496,45.2765998840332,48.34746551513672,24.690916061401367,21.05168342590332,22.540489196777344,27.057113647460938,/arc/projects/chime_frb/vlbi/OVP_astrometry_gbo/M22_true_pos_fit_gbo/435339999/calibrated_bw_400_600_masked/J150609.5+373051_calibrated_bw_400_600_masked_to_J145907.5+714019_vis.h5,0.5158239393208652,22.257875245440474,-0.3556476290049926,-11.90015411971918,-0.8714715683258578,-34.15802936515965,True,2.455625000032397,14.334375000028459
