incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,kko_x,kko_y,kko_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns
9.079635620117188,6.284660339355469,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.7609996136667,J035902.6+600522,60.0894637845278,-2111752.2440000004,-3581453.556,4821610.080999999,0.0006450000000305245,-0.0020412499999684945,0.0001750000000307067,-0.0015912499999686692,0.2999999999999634,-0.30000000000003446,18.820920944213867,16.75216293334961,19.810775756835938,16.692203521728516,20.44919776916504,16.439455032348633,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,76.4975814819336,55.60495376586914,83.63490295410156,58.99683380126953,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated/J035902.6+600522_calibrated_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.515183655813002,10.843887323103722,0.4220998897987134,-16.878048282385556,True,0.6450000000305245,-2.0412499999684943
37.0738525390625,24.608970642089844,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,19.318315779166664,J0117+8928,89.47999330555555,-2111752.2440000004,-3581453.556,4821610.080999999,0.0009343750000307455,0.001874375000030381,-0.0004756249999687079,-0.00046562499996871177,0.09999999999996412,0.2999999999999634,49.434165954589844,32.446434020996094,47.29084777832031,34.754798889160156,47.234580993652344,34.792301177978516,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,77.05889892578125,57.87066650390625,87.66233825683594,66.05657958984375,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated/J0117+8928_calibrated_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,0.25721457696263067,40.35056524979605,1.194498122574346,12.62862964430677,True,0.9343750000307455,1.874375000030381
7.788166046142578,5.34503173828125,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,57.97755912916666,J0351+0627,6.465388480555556,-2111752.2440000004,-3581453.556,4821610.080999999,-0.0022568749999688047,-0.0037499999999684986,-0.0008668749999693438,-0.0028699999999688398,-0.10000000000003517,-0.20000000000003482,15.960752487182617,17.70575523376465,18.361738204956055,19.41386604309082,18.286592483520508,19.920120239257812,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,70.56629180908203,63.43019485473633,84.64456176757812,68.80496978759766,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated/J0351+0627_calibrated_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,0.8646936224260376,-42.77461915157092,1.801977168037753,-70.4965547570602,True,-2.2568749999688045,-3.7499999999684985
15.503074645996094,9.036945343017578,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,58.958334429166655,J0355+2113,21.222599675,-2111752.2440000004,-3581453.556,4821610.080999999,-0.0018143749999688552,-0.000847499999969018,-0.000414374999969398,-0.0003674999999692041,-0.10000000000003517,0.09999999999996412,34.312931060791016,21.563621520996094,31.289758682250977,24.40753746032715,31.479496002197266,24.475486755371094,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,76.54795837402344,60.18654251098633,82.72171783447266,71.36381530761719,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated/J0355+2113_calibrated_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.12199697998592801,-28.025341744045846,0.8152865656257873,-55.747277349535125,True,-1.8143749999688552,-0.847499999969018
14.649040222167969,32.68775939941406,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,57.19544570833333,J0348+3353,33.88761608888889,-2111752.2440000004,-3581453.556,4821610.080999999,-0.004766874999967832,-0.003826249999968045,-0.0020768749999688745,-0.0020262499999687427,-0.6000000000000334,-0.4000000000000341,31.532623291015625,38.013038635253906,30.49481964111328,37.09874725341797,30.767011642456055,36.25986862182617,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,72.30634307861328,60.675575256347656,76.94692993164062,65.36293029785156,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated/J0348+3353_calibrated_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,1.3373651734777172,-15.343416993181602,2.2746487190894324,-43.065352598670884,True,-4.766874999967832,-3.826249999968045
39.059181213378906,36.02033233642578,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.873947,J0359+5057,50.96393385555556,-2111752.2440000004,-3581453.556,4821610.080999999,-0.0004818749999692506,-0.0014099999999689211,-0.0013818749999689017,-0.0014099999999689211,0.19999999999996376,-3.552713678800501e-14,58.005130767822266,54.68705368041992,54.741050720214844,51.886009216308594,55.170536041259766,51.88601303100586,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,73.9043960571289,62.384029388427734,76.63357543945312,68.23706817626953,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated/J0359+5057_calibrated_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,-0.6983518561965875,1.7197746532952487,0.23893168941512788,-26.00216095219403,True,-0.4818749999692506,-1.4099999999689212
12.96795654296875,20.272518157958984,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,57.338833958333325,J0349+3354,33.913987174999995,-2111752.2440000004,-3581453.556,4821610.080999999,0.43278562500003276,0.43612562500003194,0.43784562500003077,0.4379156250000313,-0.9000000000000323,-0.4000000000000341,28.532249450683594,31.997190475463867,27.778215408325195,34.60774612426758,30.90203094482422,33.95302963256836,77.71629333496094,64.44175720214844,85.9764175415039,80.41139221191406,75.0808334350586,55.10009765625,80.4388427734375,60.673133850097656,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/438913616/calibrated/J0349+3354_calibrated_to_J0410+7656_vis.h5,-0.9372835456117153,27.72193560548928,1.2179301452208469,-15.319748694976855,2.155213690832562,-43.04168430046613,True,432.7856250000328,436.12562500003196
21.965675354003906,11.375511169433594,1739022503.407123,436772516,J145907.5+714019,224.781599616833,71.6721852248056,19.318315779166664,J0117+8928,89.47999330555555,-2111752.2440000004,-3581453.556,4821610.080999999,-0.0029087499999690064,-0.0038418749999689175,-0.0024487499999691848,-0.0024018749999694757,0.09999999999996412,-0.10000000000003517,32.17608642578125,20.084959030151367,30.50894546508789,13.602669715881348,30.36793327331543,13.856114387512207,37.22868728637695,28.925708770751953,31.79623031616211,20.446727752685547,34.54847717285156,25.404977798461914,26.86695098876953,16.0975341796875,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/436772516/calibrated/J0117+8928_calibrated_to_J145907.5+714019_vis.h5,0.5301455522704082,22.25803728362445,-0.08655918773971769,41.047690956301,-0.6167047400101259,18.789653672676547,True,-2.9087499999690065,-3.8418749999689177
14.934574127197266,11.278438568115234,1739022503.407123,436772516,J145907.5+714019,224.781599616833,71.6721852248056,227.33271761666663,J1509+4726,47.44893824166666,-2111752.2440000004,-3581453.556,4821610.080999999,-0.0012774999999688513,0.0028318750000298886,-0.0017974999999686497,0.00014187500003093155,-0.10000000000003517,0.5999999999999623,35.757598876953125,17.051898956298828,32.58567428588867,17.706504821777344,32.3468017578125,18.284400939941406,37.22868728637695,28.925708770751953,31.79623031616211,20.446727752685547,43.215335845947266,28.382373809814453,39.751556396484375,18.140926361083984,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/436772516/calibrated/J1509+4726_calibrated_to_J145907.5+714019_vis.h5,0.5301455522704082,22.25803728362445,-0.7769536746382164,-1.9587749515121982,-1.3070992269086246,-24.216812235136647,True,-1.2774999999688512,2.8318750000298887
21.42052459716797,13.76156997680664,1739022503.407123,436772516,J145907.5+714019,224.781599616833,71.6721852248056,226.0383697708333,J1504+6000,60.01547576666667,-2111752.2440000004,-3581453.556,4821610.080999999,-0.00038687499996952987,-0.0013287499999691344,-0.0027168749999686263,-0.0027287499999685914,0.2999999999999634,0.09999999999996412,33.92982864379883,21.720067977905273,32.1370735168457,19.69414710998535,32.183197021484375,19.788742065429688,37.22868728637695,28.925708770751953,31.79623031616211,20.446727752685547,38.598026275634766,35.94328308105469,22.940704345703125,17.22957992553711,/arc/projects/chime_frb/vlbi/OVP_astrometry_kko/M22_true_pos_fit_kko/436772516/calibrated/J1504+6000_calibrated_to_J145907.5+714019_vis.h5,0.5301455522704082,22.25803728362445,0.11997669370980088,10.598591324037548,-0.41016885856060725,-11.659445959586902,True,-0.38687499996952984,-1.3287499999691343
