,incoh_snr_xx,incoh_snr_yy,ctime,event_id,calibrator_name,calibrator_ra,calibrator_dec,ra,name,dec,hco_x,hco_y,hco_z,tau_xx,tau_yy,tau_no_iono_xx,tau_no_iono_yy,tec_xx,tec_yy,uncalibrated_snr_xx,uncaibrated_snr_yy,calibrated_snr_xx,caibrated_snr_yy,snr_xx,snr_yy,cal_snr_xx,cal_snr_yy,cal_incoh_snr_xx,cal_incoh_snr_yy,cal_snr_xx_masked,cal_snr_yy_masked,cal_incoh_snr_xx_masked,cal_incoh_snr_yy_masked,filename,x_cal,y_cal,x_tar,y_tar,delta_x,delta_y,pulsar_good_pos,tau_xx_ns,tau_yy_ns,best_pol
0,5.137111663818359,8.524765014648438,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.7609996136667,J035902.6+600522,60.0894637845278,-2523643.44047669,-4123699.84440233,4147774.23913098,5.937500003471916e-05,0.0001437500000333,0.0087093750000313,0.0057237500000311,-2.0999999999994614,-2.0999999999994614,30.79840469360352,23.97935485839844,16.574390411376953,16.756393432617188,23.26191520690918,22.581541061401367,30.097900390625,34.5010871887207,44.030723571777344,54.53711700439453,35.31868362426758,36.12608337402344,45.14397048950195,46.300926208496094,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated/J035902.6+600522_calibrated_to_J0410+7656_vis.h5,-0.9372835456117152,27.72193560548928,-0.515183655813002,10.843887323103722,0.4220998897987134,-16.878048282385556,True,0.0593750000347191,0.1437500000333238,X
1,6.305133819580078,9.019824981689451,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.72392881486245,B0355+54,54.22053695681744,-2523643.44047669,-4123699.84440233,4147774.23913098,0.001537500000038,-0.0005818749999604,0.0123775000000338,0.0077181250000362,-2.3999999999994657,-2.69999999999947,17.038686752319336,19.539522171020508,11.828648567199709,10.60526180267334,16.59958267211914,15.96652889251709,30.097900390625,34.5010871887207,44.030723571777344,54.53711700439453,34.158592224121094,34.6608772277832,42.616886138916016,43.5830078125,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated/B0355+54_calibrated_to_J0410+7656_vis.h5,-0.9372835456117152,27.72193560548928,-0.5672489929372506,4.975094227938915,0.3700345526744647,-22.746841377550364,True,1.5375000000380536,-0.581874999960489,X
2,7.3123016357421875,8.466239929199219,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,19.318315779166664,J0117+8928,89.47999330555555,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0005700000000264,0.0006756250000229,-0.0117599999999687,-0.0204043749999689,2.500000000000604,2.500000000000604,16.931154251098633,12.737525939941406,13.015369415283203,13.36311149597168,19.738866806030277,17.268077850341797,30.097900390625,34.5010871887207,44.030723571777344,54.53711700439453,30.002742767333984,29.18900680541992,38.56870269775391,37.04746627807617,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated/J0117+8928_calibrated_to_J0410+7656_vis.h5,-0.9372835456117152,27.72193560548928,0.2572145769626306,40.35056524979605,1.194498122574346,12.62862964430677,True,0.5700000000264348,0.6756250000229114,X
3,8.438587188720703,5.403961181640625,1740791938.8477173,438913616,J0410+7656,62.69004559999999,76.94592036944445,59.873947,J0359+5057,50.96393385555556,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0015787500000334,-0.0002068749999652,0.0086887500000307,0.0101831250000307,-2.5999999999994685,-2.999999999999474,26.74249267578125,21.77285385131836,12.738235473632812,13.76792049407959,19.279521942138672,19.614681243896484,30.097900390625,34.5010871887207,44.030723571777344,54.53711700439453,31.27046012878418,35.57818984985352,34.816646575927734,51.52058410644531,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438913616/calibrated/J0359+5057_calibrated_to_J0410+7656_vis.h5,-0.9372835456117152,27.72193560548928,-0.6983518561965875,1.7197746532952487,0.2389316894151278,-26.00216095219403,True,1.5787500000334944,-0.2068749999652383,X
4,15.203235626220703,15.74127197265625,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,152.97573187499998,J1011+4204,42.07593759444445,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0035181250000311,0.0017656250000316,0.0035181250000311,0.003555625000031,5.684341886080801e-13,-0.3999999999994372,32.89751052856445,33.1090087890625,27.009742736816406,25.094884872436523,27.009742736816406,24.93309783935547,40.473854064941406,34.261962890625,27.48601531982422,28.73509979248047,39.127628326416016,38.06709289550781,18.38140869140625,27.99511337280273,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated/J1011+4204_calibrated_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,-0.2377376052212725,-7.368125335137429,-0.5982619033282721,-48.2796508730325,True,3.518125000031137,1.765625000031695,X
5,4.6272735595703125,4.228366851806641,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,152.52066956249996,J1010+4522,45.37296694444444,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0042743750000304,-0.0020281249999677,0.0028943750000309,0.0030218750000303,0.5000000000005755,-0.8999999999994444,14.588197708129885,11.175625801086426,16.345624923706055,9.71926498413086,17.219192504882812,12.81016731262207,40.473854064941406,34.261962890625,27.48601531982422,28.73509979248047,36.892486572265625,37.80379867553711,17.834583282470703,28.28968048095703,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated/J1010+4522_calibrated_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,0.0933125288255521,-4.071383240688424,-0.2672117692814474,-44.9829087785835,True,4.27437500003042,-2.0281249999677424,X
6,3.8097000122070312,6.807506561279297,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,151.507292625708,J100601.7+345410,34.9028893364722,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0064181250000314,0.0540693750000133,0.0067881250000313,0.0088493750000308,-0.2999999999994358,6.9000000000006665,14.511905670166016,16.227062225341797,17.26285743713379,14.589240074157717,17.434043884277344,15.40245532989502,40.473854064941406,34.261962890625,27.48601531982422,28.73509979248047,38.261756896972656,36.24121475219727,20.437057495117188,29.34075927734375,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated/J100601.7+345410_calibrated_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,0.9445625726154488,-14.533779633675527,0.5840382745084491,-55.4453051715706,True,6.418125000031466,54.069375000013295,X
7,7.701560974121094,6.423439025878906,1739694259.7342567,437574971,J0117+8928,19.318315779166664,89.47999330555555,148.697678690042,J095447.4+743557,74.599206971,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0032193750000281,0.0014250000000292,-0.0050106249999686,-0.003044999999969,1.4000000000005883,1.0000000000005826,18.439640045166016,19.81981658935547,19.442649841308597,20.253623962402344,22.306276321411133,23.22467803955078,40.473854064941406,34.261962890625,27.48601531982422,28.73509979248047,44.13424682617188,36.525909423828125,21.834423065185547,25.84711456298828,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/437574971/calibrated/J095447.4+743557_calibrated_to_J0117+8928_vis.h5,0.3605242981069996,40.91152553789507,1.0375418679537562,25.18566901521975,0.6770175698467567,-15.725856522675322,True,3.219375000028163,1.4250000000292526,X
8,21.15460968017578,10.457870483398438,1740788754.2171366,438909023,J030011.1+820239,45.0464033110417,82.0442644588333,45.8968425815833,J030335.2+471616,47.2711876312778,-2523643.44047669,-4123699.84440233,4147774.23913098,0.0010500000000344,0.0010068750000347,0.009890000000031,0.0098668750000312,-2.999999999999474,-2.999999999999474,30.96034049987793,25.276256561279297,21.938552856445312,12.366615295410156,27.6912784576416,15.724184036254885,29.821456909179688,17.237232208251953,14.92865753173828,11.932815551757812,34.85747146606445,18.81038475036621,22.80976104736328,10.060543060302734,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438909023/calibrated/J030335.2+471616_calibrated_to_J030011.1+820239_vis.h5,0.0162972649902226,32.82236487825676,-0.2746556649538716,-1.9506388731200288,-0.2909529299440943,-34.773003751376784,True,1.050000000034487,1.0068750000347162,X
9,10.155445098876951,10.848949432373049,1740788754.2171366,438909023,J030011.1+820239,45.0464033110417,82.0442644588333,19.318315779166664,J0117+8928,89.47999330555555,-2523643.44047669,-4123699.84440233,4147774.23913098,-0.0003374999999711,-0.0003837499999716,-0.0066974999999686,-0.0066537499999692,1.4000000000005883,1.4000000000005883,18.473045349121094,19.999876022338867,16.55717658996582,12.66067123413086,18.823022842407227,16.146812438964844,29.821456909179688,17.237232208251953,14.92865753173828,11.932815551757812,34.38892364501953,17.133455276489258,11.846866607666016,9.379913330078123,/arc/projects/chime_frb/vlbi/OVP_astrometry_hco/M22_true_pos_fit_hco_MASK_RFI/438909023/calibrated/J0117+8928_calibrated_to_J030011.1+820239_vis.h5,0.0162972649902226,32.82236487825676,0.1758529817638581,40.31111115143565,0.1595557167736354,7.48874627317889,True,-0.3374999999711542,-0.3837499999716819,X
