name,ra,dec,ctime,event_id
B0136+57,24.832017687223725,58.24206554069374,1737509352.9897676,434888541
J0141+1353,25.28811899583333,13.891222872222222,1737509352.9897676,434888541
J013658.5+475129,24.2441450135833,47.8580833533333,1737509352.9897676,434888541
J0137+3309,24.422081866666662,33.15974373333333,1737509352.9897676,434888541
B0531+21,83.6330284547463,22.014504057191456,1737523547.6880946,434903971
J054236.1+495107,85.65057457125,49.8520093649722,1737523547.6880946,434903971
J0117+8928,19.318315779166664,89.47999330555555,1737523547.6880946,434903971
J0529+2500,82.29226447083333,25.014326166666667,1737523547.6880946,434903971
J163925.0+863153,249.854230190333,86.5314256070278,1738857590.188676,436581067
J1702+5017,255.7217203458333,50.29497936944444,1738857590.188676,436581067
J1728+7229,262.1888232291666,72.49414844722223,1738857590.188676,436581067
J1707+4536,256.8239725708333,45.60293136111111,1738857590.188676,436581067
J1711+3019,257.83300607916664,30.32162765555556,1738857590.188676,436581067
J1709+0645,257.45283352916664,6.751247066666667,1738857590.188676,436581067
J0117+8928,19.318315779166664,89.47999330555555,1738857590.188676,436581067
J0117+8928,19.318315779166664,89.47999330555555,1738877184.836764,436621537
J2236+2828,339.09362852916666,28.48261478611111,1738877184.836764,436621537
J2232+1143,338.15170375416665,11.730806694444444,1738877184.836764,436621537
J1329+3154,202.4702704708333,31.903070680555555,1738930651.7568011,436684165
J1330+2509,202.6570432708333,25.153021791666664,1738930651.7568011,436684165
J133108.2+303032,202.784533586542,30.5091553216944,1738930651.7568011,436684165
J133037.6+250910,202.657063312042,25.1530401233056,1738930651.7568011,436684165
J1313+6735,198.36662049166665,67.59732227222221,1738930651.7568011,436684165
J0117+8928,19.318315779166664,89.47999330555555,1738930651.7568011,436684165
J1326+3154,201.56879874166663,31.90264456111111,1738930651.7568011,436684165
J0216+5457,34.069452649999995,54.957579825,1738976360.1491342,436743422
J0213+0547,33.400707795833334,5.796861525,1738976360.1491342,436743422
J0205+7522,31.407960625,75.36895439999999,1738976360.1491342,436743422
J0221+355B,35.27289052083333,35.93718438333333,1738976360.1491342,436743422
J0117+8928,19.318315779166664,89.47999330555555,1738976360.1491342,436743422
J0217+7349,34.378389012499994,73.82572826666666,1738976360.1491342,436743422
J075303.3+423130,118.263906034375,42.52521247925,1738996648.2869103,436764035
J075153.6+331319,117.973638514292,33.2221719424722,1738996648.2869103,436764035
J0752+6112,118.047024775,61.20913816944445,1738996648.2869103,436764035
J075057.7+824158,117.740648095417,82.6994533818889,1738996648.2869103,436764035
J0117+8928,19.318315779166664,89.47999330555555,1738996648.2869103,436764035
J061048.8+724853,92.703638614375,72.8147732713611,1739078743.826747,436840614
J064615.2+304123,101.563491963667,30.6898976761389,1739078743.826747,436840614
J0117+8928,19.318315779166664,89.47999330555555,1739078743.826747,436840614
J0646+5946,101.58616099583332,59.77389299722222,1739078743.826747,436840614
J1800+7828,270.1903495666666,78.46778289444444,1739119841.338483,436854231
J181003.3+564922,272.513829297,56.8230473263056,1739119841.338483,436854231
J1821+3942,275.3370927333333,39.71242078888889,1739119841.338483,436854231
J0117+8928,19.318315779166664,89.47999330555555,1739119841.338483,436854231
J181536.7+612711,273.903301067667,61.4532354306944,1739119841.338483,436854231
J1806+6949,271.7111693791667,69.82447458333333,1739119841.338483,436854231
J1810+7350,272.574317025,73.84168076388889,1739119841.338483,436854231
J0701+6951,105.36303134583332,69.86415991666667,1739424642.013317,437236092
J0659+6522,104.8568968,65.37930969444444,1739424642.013317,437236092
J0702+4431,105.72355604583332,44.519986902777774,1739424642.013317,437236092
J0117+8928,19.318315779166664,89.47999330555555,1739424642.013317,437236092
J0706+4647,106.70029290833332,46.79901382222222,1739424642.013317,437236092
J163925.0+863153,249.854230190333,86.5314256070278,1739454801.359662,437246259
J1531+7706,232.80275130416663,77.10091859166666,1739454801.359662,437246259
J145907.5+714019,224.781599616833,71.6721852248056,1739454801.359662,437246259
J0117+8928,19.318315779166664,89.47999330555555,1739454801.359662,437246259
J061048.8+724853,92.703638614375,72.8147732713611,1739593988.641001,437499112
J0117+8928,19.318315779166664,89.47999330555555,1739593988.641001,437499112
J0614+6046,93.59944241666666,60.772709983333336,1739593988.641001,437499112
J104827.6+714335,162.115083032417,71.7266495595,1739610075.7628877,437505692
J234403.7+822640,356.015706109625,82.4445561011389,1739610075.7628877,437505692
J1049+1941,162.2713366958333,19.69641195833333,1739610075.7628877,437505692
J0117+8928,19.318315779166664,89.47999330555555,1739610075.7628877,437505692
J104423.0+805439,161.096094042583,80.9109564023611,1739610075.7628877,437505692
J1048+3457,162.142699575,34.956957486111115,1739610075.7628877,437505692
J1035+5628,158.77933306666668,56.47966545277778,1739610075.7628877,437505692
J1048+6008,162.14041269166665,60.14601154444444,1739610075.7628877,437505692
J1011+4204,152.97573187499998,42.07593759444445,1739694259.7342567,437574971
J1010+4522,152.52066956249996,45.37296694444444,1739694259.7342567,437574971
J100601.7+345410,151.507292625708,34.9028893364722,1739694259.7342567,437574971
J095447.4+743557,148.697678690042,74.599206971,1739694259.7342567,437574971
J0117+8928,19.318315779166664,89.47999330555555,1739694259.7342567,437574971
J0831+3742,127.79174230833334,37.702658694444445,1740119350.1337614,438003451
B0834+06,129.273528338878,6.171162970879763,1740119350.1337614,438003451
J084124.3+705342,130.351522021167,70.8950480676389,1740119350.1337614,438003451
J0117+8928,19.318315779166664,89.47999330555555,1740119350.1337614,438003451
J083454.9+553421,128.728766615667,55.5725195391389,1740119350.1337614,438003451
J150609.5+373051,226.539708230375,37.5142034725556,1740142645.8116107,438011184
