,snr,tau,delta_sep,mas
0,8.834919935224127,1.3903638316245321,16.878048282385556,63.19835598293327
1,10.07826976688405,0.683332432218696,22.746841377550364,31.060565100849814
2,6.919016966819763,0.2079891662115304,12.62862964430677,9.454053009615018
3,9.917375835431207,1.770582324553224,26.00216095219403,80.48101475241926
4,30.297186541512847,2.8838086501413307,48.2796508730325,131.08221137006046
5,7.262957344200894,3.2933293496155454,44.9829087785835,149.6967886188884
6,10.128235477159123,6.22230116312288,55.4453051715706,282.83187105103997
7,20.61114614722657,2.195005009244382,15.725856522675322,99.77295496565371
8,9.28845982726314,4.096919372844008,62.4953319097782,186.2236078565458
9,11.477752673651983,1.5332283817220238,34.773003751376784,69.6921991691829
10,12.49963412152784,-1.4544566862099182,7.48874627317889,-66.11166755499627
11,36.55140894036521,-1.4526628852307242,8.608401617822402,-66.03013114685109
12,14.810702913513214,0.28313411949792444,2.663633690907062,12.869732704451112
13,12.150742143205969,-6.6355242955798035,43.01061168066733,-301.61474070817286
14,25.131271028717336,-2.48040083283627,55.341045444771865,-112.74549240164863
15,30.73800526068385,-2.6497186966264348,25.901305806976605,-120.44175893756521
16,14.977751296095112,-4.409253244446278,73.43027061865686,-200.42060202028534
17,41.10964102558823,-2.7474573391115475,25.761654881027084,-124.88442450507033
18,19.98373733652448,3.266939243140455,66.46399446571279,148.49723832456613
19,15.2168431412305,0.7557533180361972,34.15901564757868,34.35242354709987
20,9.68831624125597,-1.7389134776916104,18.78930541789249,-79.04152171325501
21,22.8930855396371,-0.500461929030213,12.713950502433438,-22.748269501373315
22,18.356389724886032,-1.1093516424629315,16.14230300575605,-50.42507465740598
23,38.08572969061661,0.019809832831750196,24.21748633930023,0.9004469468977361
24,8.499598313551747,-0.9700176588157,18.92253853190971,-44.091711764349995
25,27.76435633507284,2.487814222719712,61.180721487770185,113.08246466907782
26,30.739804545379187,-1.1146846824068182,11.6596704823463,-50.66748556394628
27,5.151018686493559,0.8204768631764396,3.747286644324255,37.294402871656345
28,18.08728843559697,2.129412159807047,13.33494469277099,96.79146180941122
29,11.203614720041012,-0.44114654610195114,0.0012305699813808,-20.05211573190687
30,51.837060965464445,-0.7844823757440682,6.750264514873713,-35.65828980654855
31,58.9435132438777,-1.9183634957310425,1.3934174256486995,-87.19834071504738
32,58.073538659118675,1.5557532943920052,6.750246056495499,70.71605883600023
33,5.9591550590816205,3.2210553830806354,35.73107140074973,146.41160832184707
34,11.158536896821428,-1.0900890169873767,58.61453998582542,-49.549500772153486
35,33.853796851363825,0.42008660757036764,17.8651307069711,19.094845798653072
36,23.114766516623877,-0.014723916088376643,15.328644366107028,-0.6692689131080292
37,13.114503759514548,-1.2716124646444948,34.59851536517953,-57.800566574749766
38,13.017767065529721,-0.3308380467000115,47.53196104353585,-15.038093031818704
39,7.816393113562045,3.7802382129368444,56.83751128042414,171.82900967894744
40,11.172658086844656,2.7967154444323215,28.852972500890157,127.12342929237825
41,11.557659816908085,6.683708123322465,41.8161364623627,303.80491469647563
42,18.365465523016404,2.27372069534791,18.585115465406137,103.35094069763227
43,69.06027544281373,-0.3314528076225006,2.2785061498390164,-15.066036710113663
44,28.1569643143265,-1.4449725808124776,43.17039747279768,-65.68057185511262
45,15.938730743222989,1.457945163466096,7.057675710001327,66.27023470300436
46,17.44415768011376,3.582265024926396,63.27898708172613,162.83022840574526
47,19.87515942209254,0.18547842100948397,3.1983817108533223,8.430837318612907
48,11.548696316607364,0.9359580834141216,78.40308722006286,42.54354924609643
49,19.238886697112505,1.0017172271228936,31.51986218133276,45.532601232858795
50,13.100724384343357,4.722702667571103,54.9360269827578,214.66830307141376
51,49.64386354002477,0.07712485427627436,13.318300915784636,3.505675194376107
52,18.029023343997668,1.472027515791051,34.159310151277175,66.91034162686594
53,9.675349726804408,-2.342100818641004,18.78906828991087,-106.45912812004563
54,6.944952174565099,0.6764373351486175,12.714259437428726,30.74715159766443
55,9.914108412266271,1.3630732935468823,42.76669075288826,61.95787697940373
56,42.07838743722467,-0.4651333977389024,16.142705695713524,-21.142427169950107
57,27.43298802583054,-0.8493696703782904,24.21793456280393,-38.60771228992228
58,10.06436461160351,3.9955831352752122,61.18092106389342,181.61741523978236
59,34.35030062425101,0.5720387314124018,11.659819165977495,26.001760518745535
60,9.992140608380383,1.7040929006170336,31.91395600252613,77.45876820986516
61,23.7110774859244,2.7389268055853155,28.242385424360947,124.4966729811507
62,14.135781333254302,-5.645786120104569,31.914086683409447,-256.62664182293497
63,13.33410495692861,-0.7760718780607785,4.294654702134245,-35.27599445730811
64,36.68638750669588,0.2554040784543946,9.69935457236613,11.609276293381573
65,14.911101307687838,1.527070724193788,33.166747865107844,69.41230564517217
66,13.42603749370442,2.543784062980311,25.08360638868465,115.62654831728685
67,5.80633567085532,7.358448639894797,19.25807449049176,334.47493817703617
68,7.150136285183336,1.6539766941620833,56.321462371024026,75.18075882554923
69,10.466243141929978,6.115381995811316,14.697842420629724,277.97190890051434
70,31.40195636446023,0.3668010704516599,17.864139997960024,16.672775929620904
71,20.56769073208854,0.335334030145959,49.39960569137311,15.242455915725406
72,46.27533704503941,-0.631337763680336,15.327895073055508,-28.697171076378908
73,8.10887194996588,-3.0725604356663316,34.59931120657983,-139.66183798483323
74,7.358621038992922,7.19700601211978,25.08383852316527,327.1366369145354
75,11.732261203690166,6.898779050461572,56.31984525747163,313.58086593007147
76,9.351984599836067,8.6799764357105,14.697088816500626,394.54438344138634
77,25.37893721186801,-0.6624206920920451,11.578909965902271,-30.110031458729324
