snr,tau,delta_sep,mas
15.423212051391602,0.9550000000341999,16.878048282385556,15.916666667236667
8.683094024658203,1.5456250000379999,22.746841377550364,25.760416667299996
11.858203887939453,0.5781250000264,12.62862964430677,9.635416667106666
10.92926025390625,1.5887500000344001,26.00216095219403,26.479166667240005
18.06993103027344,4.4181250000307,48.2796508730325,73.63541666717833
8.104808807373047,4.2643750000304,44.9829087785835,71.07291666717333
10.470556259155277,6.4100000000314,55.4453051715706,106.83333333385667
14.394367218017575,3.2175000000281,15.725856522675322,53.62500000046833
7.403934478759766,3.3343750000375,62.4953319097782,55.57291666729166
17.238113403320312,1.9400000000341,34.773003751376784,32.33333333390167
10.62901496887207,-0.3256249999711,7.48874627317889,-5.427083332851667
25.141868591308594,-2.5343749999694998,8.608401617822402,-42.239583332825
6.93895149230957,0.5287500000305001,2.663633690907062,8.812500000508335
6.494931221008301,-5.6674999999724,43.01061168066733,-94.45833333287334
14.2014274597168,-5.0837499999776,55.341045444771865,-84.72916666629334
22.89745140075684,-2.7299999999713003,25.901305806976605,-45.49999999952167
15.973796844482425,-4.0581249999795,73.43027061865686,-67.63541666632501
29.987464904785163,-1.8543749999717,25.761654881027084,-30.90624999952833
4.882078170776367,3.4025000000123002,66.46399446571279,56.70833333353834
19.77311897277832,1.2937500000309,34.15901564757868,21.562500000514998
17.82915687561035,-1.6106249999699,18.78930541789249,-26.843749999498332
11.5035400390625,-0.2856249999687,12.713950502433438,-4.760416666145
29.36200714111328,-0.9887499999682,16.14230300575605,-16.479166666136667
33.32320785522461,-0.5962499999683,24.21748633930023,-9.937499999471667
9.44998550415039,-0.7606249999683,18.92253853190971,-12.677083332805
15.028667449951168,3.205625000034,61.180721487770185,53.42708333389999
29.43054962158203,-0.5106249999683999,11.6596704823463,-8.51041666614
5.418473243713381,1.1600000000295,3.747286644324255,19.333333333825
28.14820098876953,1.8550000000281,13.33494469277099,30.916666667135
13.640600204467773,-0.6787499999689,0.0012305699813808,-11.312499999481666
48.90462112426758,-0.5318749999692,6.750264514873713,-8.864583332819999
57.604034423828125,-0.6656249999691,1.3934174256486995,-11.093749999484999
54.38105392456055,0.5718750000306999,6.750246056495499,9.531250000511665
6.197775840759276,2.8150000000316,35.73107140074973,46.91666666719333
13.266918182373047,-1.9699999999667002,58.61453998582542,-32.83333333277834
22.040752410888672,0.5337500000301999,17.8651307069711,8.895833333836665
25.576499938964844,-0.9781249999696001,15.328644366107028,-16.30208333282667
13.99557113647461,-0.4124999999728,34.59851536517953,-6.874999999546667
5.751980781555176,0.8406250000439,47.53196104353585,14.010416667398331
5.785989761352541,3.7025000000301,56.83751128042414,61.70833333383501
16.053861618041992,2.6650000000394,28.852972500890157,44.416666667323334
4.66110897064209,6.2756250000357,41.8161364623627,104.593750000595
27.329559326171882,1.7900000000307998,18.585115465406137,29.833333333846664
73.22953033447266,-0.6274999999686,2.2785061498390164,-10.45833333281
28.88686752319336,-2.3112499999679,43.17039747279768,-38.52083333279834
26.077587127685547,0.7343750000259,7.057675710001327,12.239583333765
11.238008499145508,3.230000000054,63.27898708172613,53.83333333423334
20.953718185424805,0.5187500000329001,3.1983817108533223,8.645833333881667
13.105619430541992,0.9175000000552,78.40308722006286,15.291666667586668
16.56755828857422,0.9956250000412001,31.51986218133276,16.59375000068667
13.709888458251957,5.2325000000421005,54.9360269827578,87.208333334035
57.3155517578125,-0.4474999999686,13.318300915784636,-7.45833333281
17.340770721435547,0.563125000031,34.159310151277175,9.385416667183334
21.696849822998047,-0.8931249999693,18.78906828991087,-14.885416666155
11.78976821899414,0.8212500000305,12.714259437428726,13.687500000508331
5.464159965515137,1.344375000031,42.76669075288826,22.406250000516664
39.99800109863281,0.1093750000308,16.142705695713524,1.8229166671800001
23.864837646484375,-1.4424999999685,24.21793456280393,-24.041666666141666
15.849306106567383,3.4312500000314,61.18092106389342,57.187500000523336
29.28984832763672,0.3475000000307,11.659819165977495,5.791666667178333
10.169523239135746,1.2793750000342,31.91395600252613,21.322916667236665
10.446126937866211,4.8606250000181,28.242385424360947,81.01041666696834
10.307025909423828,-5.7337499999657,31.914086683409447,-95.56249999942833
14.963113784790039,-0.7549999999694,4.294654702134245,-12.583333332823335
30.843761444091797,0.017500000032827194,9.69935457236613,0.2916666672137866
10.067132949829102,1.3681250000343,33.166747865107844,22.802083333905
4.745323181152344,3.2018750000292,25.08360638868465,53.36458333382
12.170755386352539,7.823076923100307,19.25807449049176,130.3846153850051
5.750268936157228,1.6062500000217,56.321462371024026,26.770833333695
11.595329284667969,6.8793750000291,14.697842420629724,114.65625000048499
23.516799926757812,0.5231250000306,17.864139997960024,8.718750000510001
12.812707901000977,0.3225000000324,49.39960569137311,5.375000000539999
42.8266830444336,-1.1312499999702998,15.327895073055508,-18.854166666171665
14.30324935913086,-3.3612499999713,34.59931120657983,-56.020833332855
7.680034637451172,7.5575000000245005,25.08383852316527,125.95833333374168
6.8701934814453125,6.7543750000207,56.31984525747163,112.57291666701167
7.776758193969727,9.2443750000275,14.697088816500626,154.07291666712499
31.065513610839837,-0.5674999999681001,11.578909965902271,-9.458333332801667
9.09872055053711,-0.4418749999678,40.44173509912913,-7.364583332796666
15.953401565551761,-2.9431249999661,20.7601619714996,-49.05208333276834
16.759708404541016,-1.3012499999687002,25.185794856274093,-21.687499999478337
21.58555030822754,-0.5168749999685,3.6538768013987,-8.614583332808332
5.943671226501465,-2.8806249999675,3.721743404117369,-48.010416666124996
7.726776123046875,1.8812500000368002,44.67479443335092,31.35416666728
